Fichero;Tiempo;Resultado
GKD-b_1_n25_m2.txt;40.0;0.0
GKD-b_1_n25_m2.txt;40.0;0.0
GKD-b_1_n25_m2.txt;40.0;0.0
GKD-b_1_n25_m2.txt;39.0;0.0
GKD-b_1_n25_m2.txt;39.0;0.0
GKD-b_2_n25_m2.txt;40.0;0.0
GKD-b_2_n25_m2.txt;39.0;0.0
GKD-b_2_n25_m2.txt;39.0;0.0
GKD-b_2_n25_m2.txt;39.0;0.0
GKD-b_2_n25_m2.txt;40.0;0.0
GKD-b_3_n25_m2.txt;39.0;0.0
GKD-b_3_n25_m2.txt;40.0;0.0
GKD-b_3_n25_m2.txt;41.0;0.0
GKD-b_3_n25_m2.txt;39.0;0.0
GKD-b_3_n25_m2.txt;39.0;0.0
GKD-b_4_n25_m2.txt;39.0;0.0
GKD-b_4_n25_m2.txt;39.0;0.0
GKD-b_4_n25_m2.txt;40.0;0.0
GKD-b_4_n25_m2.txt;39.0;0.0
GKD-b_4_n25_m2.txt;40.0;0.0
GKD-b_5_n25_m2.txt;40.0;0.0
GKD-b_5_n25_m2.txt;39.0;0.0
GKD-b_5_n25_m2.txt;39.0;0.0
GKD-b_5_n25_m2.txt;39.0;0.0
GKD-b_5_n25_m2.txt;39.0;0.0
GKD-b_6_n25_m7.txt;37.0;46.2953
GKD-b_6_n25_m7.txt;37.0;41.5216
GKD-b_6_n25_m7.txt;37.0;45.9796
GKD-b_6_n25_m7.txt;37.0;31.7906
GKD-b_6_n25_m7.txt;37.0;29.7559
GKD-b_7_n25_m7.txt;37.0;44.8896
GKD-b_7_n25_m7.txt;37.0;34.6732
GKD-b_7_n25_m7.txt;37.0;23.6647
GKD-b_7_n25_m7.txt;38.0;33.3231
GKD-b_7_n25_m7.txt;37.0;39.6084
GKD-b_8_n25_m7.txt;37.0;27.6461
GKD-b_8_n25_m7.txt;37.0;43.292
GKD-b_8_n25_m7.txt;37.0;62.6038
GKD-b_8_n25_m7.txt;37.0;24.4453
GKD-b_8_n25_m7.txt;37.0;34.2263
GKD-b_9_n25_m7.txt;38.0;37.3978
GKD-b_9_n25_m7.txt;37.0;38.3693
GKD-b_9_n25_m7.txt;37.0;38.083
GKD-b_9_n25_m7.txt;37.0;39.5011
GKD-b_9_n25_m7.txt;37.0;37.4044
GKD-b_10_n25_m7.txt;38.0;40.4508
GKD-b_10_n25_m7.txt;38.0;47.9688
GKD-b_10_n25_m7.txt;38.0;30.8806
GKD-b_10_n25_m7.txt;37.0;26.8843
GKD-b_10_n25_m7.txt;37.0;76.853
GKD-b_11_n50_m5.txt;37.0;23.7123
GKD-b_11_n50_m5.txt;37.0;19.9606
GKD-b_11_n50_m5.txt;38.0;22.0043
GKD-b_11_n50_m5.txt;37.0;21.7119
GKD-b_11_n50_m5.txt;38.0;17.7815
GKD-b_12_n50_m5.txt;38.0;23.4417
GKD-b_12_n50_m5.txt;38.0;20.8819
GKD-b_12_n50_m5.txt;37.0;17.2809
GKD-b_12_n50_m5.txt;38.0;12.985
GKD-b_12_n50_m5.txt;37.0;17.0848
GKD-b_13_n50_m5.txt;38.0;15.2456
GKD-b_13_n50_m5.txt;37.0;13.923
GKD-b_13_n50_m5.txt;40.0;27.4214
GKD-b_13_n50_m5.txt;37.0;26.3697
GKD-b_13_n50_m5.txt;37.0;26.7863
GKD-b_14_n50_m5.txt;37.0;26.5102
GKD-b_14_n50_m5.txt;37.0;6.08026
GKD-b_14_n50_m5.txt;38.0;15.8943
GKD-b_14_n50_m5.txt;37.0;9.26392
GKD-b_14_n50_m5.txt;37.0;20.7237
GKD-b_15_n50_m5.txt;37.0;24.3721
GKD-b_15_n50_m5.txt;38.0;2.85315
GKD-b_15_n50_m5.txt;37.0;18.5389
GKD-b_15_n50_m5.txt;38.0;15.3516
GKD-b_15_n50_m5.txt;38.0;21.9989
GKD-b_16_n50_m15.txt;67.0;188.062
GKD-b_16_n50_m15.txt;67.0;122.064
GKD-b_16_n50_m15.txt;67.0;206.71
GKD-b_16_n50_m15.txt;69.0;146.609
GKD-b_16_n50_m15.txt;67.0;183.75
GKD-b_17_n50_m15.txt;67.0;145.441
GKD-b_17_n50_m15.txt;67.0;136.151
GKD-b_17_n50_m15.txt;67.0;116.405
GKD-b_17_n50_m15.txt;70.0;150.13
GKD-b_17_n50_m15.txt;67.0;137.689
GKD-b_18_n50_m15.txt;68.0;150.527
GKD-b_18_n50_m15.txt;68.0;117.834
GKD-b_18_n50_m15.txt;68.0;95.1102
GKD-b_18_n50_m15.txt;67.0;118.822
GKD-b_18_n50_m15.txt;67.0;106.029
GKD-b_19_n50_m15.txt;67.0;106.39
GKD-b_19_n50_m15.txt;67.0;140.011
GKD-b_19_n50_m15.txt;68.0;132.337
GKD-b_19_n50_m15.txt;68.0;139.781
GKD-b_19_n50_m15.txt;67.0;128.958
GKD-b_20_n50_m15.txt;67.0;174.235
GKD-b_20_n50_m15.txt;68.0;115.407
GKD-b_20_n50_m15.txt;67.0;183.644
GKD-b_20_n50_m15.txt;67.0;118.206
GKD-b_20_n50_m15.txt;67.0;142.155
GKD-b_21_n100_m10.txt;53.0;62.0417
GKD-b_21_n100_m10.txt;54.0;46.1927
GKD-b_21_n100_m10.txt;53.0;65.1691
GKD-b_21_n100_m10.txt;54.0;81.8681
GKD-b_21_n100_m10.txt;53.0;78.5611
GKD-b_22_n100_m10.txt;53.0;74.8015
GKD-b_22_n100_m10.txt;53.0;62.7643
GKD-b_22_n100_m10.txt;54.0;52.317
GKD-b_22_n100_m10.txt;53.0;55.6561
GKD-b_22_n100_m10.txt;53.0;69.8605
GKD-b_23_n100_m10.txt;53.0;53.3591
GKD-b_23_n100_m10.txt;54.0;55.649
GKD-b_23_n100_m10.txt;54.0;54.0357
GKD-b_23_n100_m10.txt;53.0;71.6673
GKD-b_23_n100_m10.txt;53.0;54.4059
GKD-b_24_n100_m10.txt;53.0;45.7075
GKD-b_24_n100_m10.txt;53.0;33.8624
GKD-b_24_n100_m10.txt;53.0;72.9061
GKD-b_24_n100_m10.txt;52.0;59.0955
GKD-b_24_n100_m10.txt;53.0;54.4906
GKD-b_25_n100_m10.txt;54.0;55.7864
GKD-b_25_n100_m10.txt;53.0;77.3207
GKD-b_25_n100_m10.txt;54.0;36.1
GKD-b_25_n100_m10.txt;54.0;59.1154
GKD-b_25_n100_m10.txt;53.0;57.5074
GKD-b_26_n100_m30.txt;214.0;460.98
GKD-b_26_n100_m30.txt;215.0;495.285
GKD-b_26_n100_m30.txt;213.0;400.683
GKD-b_26_n100_m30.txt;212.0;510.297
GKD-b_26_n100_m30.txt;212.0;411.873
GKD-b_27_n100_m30.txt;212.0;506.934
GKD-b_27_n100_m30.txt;215.0;352.113
GKD-b_27_n100_m30.txt;217.0;384.975
GKD-b_27_n100_m30.txt;212.0;399.416
GKD-b_27_n100_m30.txt;211.0;513.358
GKD-b_28_n100_m30.txt;215.0;541.548
GKD-b_28_n100_m30.txt;214.0;424.261
GKD-b_28_n100_m30.txt;213.0;449.195
GKD-b_28_n100_m30.txt;211.0;450.18
GKD-b_28_n100_m30.txt;210.0;524.607
GKD-b_29_n100_m30.txt;214.0;399.263
GKD-b_29_n100_m30.txt;215.0;387.117
GKD-b_29_n100_m30.txt;217.0;438.924
GKD-b_29_n100_m30.txt;217.0;473.992
GKD-b_29_n100_m30.txt;212.0;452.643
GKD-b_30_n100_m30.txt;213.0;471.253
GKD-b_30_n100_m30.txt;215.0;586.965
GKD-b_30_n100_m30.txt;213.0;431.106
GKD-b_30_n100_m30.txt;212.0;456.95
GKD-b_30_n100_m30.txt;214.0;392.906
GKD-b_31_n125_m12.txt;61.0;109.443
GKD-b_31_n125_m12.txt;64.0;100.433
GKD-b_31_n125_m12.txt;61.0;105.937
GKD-b_31_n125_m12.txt;61.0;117.706
GKD-b_31_n125_m12.txt;62.0;83.7325
GKD-b_32_n125_m12.txt;62.0;106.291
GKD-b_32_n125_m12.txt;62.0;68.8439
GKD-b_32_n125_m12.txt;62.0;84.203
GKD-b_32_n125_m12.txt;61.0;71.6118
GKD-b_32_n125_m12.txt;62.0;72.4183
GKD-b_33_n125_m12.txt;61.0;87.6239
GKD-b_33_n125_m12.txt;64.0;78.7471
GKD-b_33_n125_m12.txt;61.0;77.5318
GKD-b_33_n125_m12.txt;62.0;116.787
GKD-b_33_n125_m12.txt;63.0;91.509
GKD-b_34_n125_m12.txt;61.0;76.3529
GKD-b_34_n125_m12.txt;61.0;88.0809
GKD-b_34_n125_m12.txt;61.0;106.831
GKD-b_34_n125_m12.txt;61.0;76.9325
GKD-b_34_n125_m12.txt;63.0;102.927
GKD-b_35_n125_m12.txt;61.0;66.8044
GKD-b_35_n125_m12.txt;61.0;63.4893
GKD-b_35_n125_m12.txt;62.0;104.452
GKD-b_35_n125_m12.txt;61.0;98.8572
GKD-b_35_n125_m12.txt;62.0;103.689
GKD-b_36_n125_m37.txt;328.0;571.42
GKD-b_36_n125_m37.txt;323.0;414.89
GKD-b_36_n125_m37.txt;326.0;511.728
GKD-b_36_n125_m37.txt;327.0;605.946
GKD-b_36_n125_m37.txt;325.0;423.231
GKD-b_37_n125_m37.txt;329.0;579.377
GKD-b_37_n125_m37.txt;322.0;721.862
GKD-b_37_n125_m37.txt;323.0;688.978
GKD-b_37_n125_m37.txt;323.0;812.333
GKD-b_37_n125_m37.txt;326.0;615.906
GKD-b_38_n125_m37.txt;322.0;652.568
GKD-b_38_n125_m37.txt;322.0;618.042
GKD-b_38_n125_m37.txt;324.0;707.528
GKD-b_38_n125_m37.txt;325.0;562.107
GKD-b_38_n125_m37.txt;327.0;690.647
GKD-b_39_n125_m37.txt;327.0;531.163
GKD-b_39_n125_m37.txt;324.0;515.788
GKD-b_39_n125_m37.txt;323.0;589.082
GKD-b_39_n125_m37.txt;325.0;678.151
GKD-b_39_n125_m37.txt;323.0;570.959
GKD-b_40_n125_m37.txt;324.0;557.23
GKD-b_40_n125_m37.txt;325.0;501.534
GKD-b_40_n125_m37.txt;323.0;658.376
GKD-b_40_n125_m37.txt;322.0;551.31
GKD-b_40_n125_m37.txt;328.0;548.664
GKD-b_41_n150_m15.txt;77.0;80.4968
GKD-b_41_n150_m15.txt;77.0;140.172
GKD-b_41_n150_m15.txt;76.0;87.7974
GKD-b_41_n150_m15.txt;77.0;103.612
GKD-b_41_n150_m15.txt;78.0;94.7505
GKD-b_42_n150_m15.txt;77.0;118.752
GKD-b_42_n150_m15.txt;77.0;131.814
GKD-b_42_n150_m15.txt;76.0;123.85
GKD-b_42_n150_m15.txt;76.0;108.126
GKD-b_42_n150_m15.txt;76.0;110.226
GKD-b_43_n150_m15.txt;79.0;173.968
