Fichero;Tiempo;Resultado
GKD-b_1_n25_m2.txt;33.0;0.0
GKD-b_1_n25_m2.txt;34.0;0.0
GKD-b_1_n25_m2.txt;33.0;0.0
GKD-b_1_n25_m2.txt;33.0;0.0
GKD-b_1_n25_m2.txt;33.0;0.0
GKD-b_2_n25_m2.txt;33.0;0.0
GKD-b_2_n25_m2.txt;34.0;0.0
GKD-b_2_n25_m2.txt;34.0;0.0
GKD-b_2_n25_m2.txt;33.0;0.0
GKD-b_2_n25_m2.txt;33.0;0.0
GKD-b_3_n25_m2.txt;33.0;0.0
GKD-b_3_n25_m2.txt;33.0;0.0
GKD-b_3_n25_m2.txt;33.0;0.0
GKD-b_3_n25_m2.txt;33.0;0.0
GKD-b_3_n25_m2.txt;34.0;0.0
GKD-b_4_n25_m2.txt;34.0;0.0
GKD-b_4_n25_m2.txt;33.0;0.0
GKD-b_4_n25_m2.txt;33.0;0.0
GKD-b_4_n25_m2.txt;33.0;0.0
GKD-b_4_n25_m2.txt;33.0;0.0
GKD-b_5_n25_m2.txt;33.0;0.0
GKD-b_5_n25_m2.txt;33.0;0.0
GKD-b_5_n25_m2.txt;33.0;0.0
GKD-b_5_n25_m2.txt;33.0;0.0
GKD-b_5_n25_m2.txt;33.0;0.0
GKD-b_6_n25_m7.txt;36.0;13.4792
GKD-b_6_n25_m7.txt;32.0;13.4793
GKD-b_6_n25_m7.txt;32.0;13.4792
GKD-b_6_n25_m7.txt;32.0;13.4793
GKD-b_6_n25_m7.txt;30.0;26.3995
GKD-b_7_n25_m7.txt;28.0;18.0632
GKD-b_7_n25_m7.txt;30.0;19.4777
GKD-b_7_n25_m7.txt;35.0;14.0986
GKD-b_7_n25_m7.txt;30.0;18.0632
GKD-b_7_n25_m7.txt;31.0;19.4777
GKD-b_8_n25_m7.txt;28.0;26.1801
GKD-b_8_n25_m7.txt;32.0;16.7612
GKD-b_8_n25_m7.txt;32.0;20.9588
GKD-b_8_n25_m7.txt;32.0;20.9588
GKD-b_8_n25_m7.txt;33.0;16.7612
GKD-b_9_n25_m7.txt;31.0;17.0692
GKD-b_9_n25_m7.txt;31.0;17.0692
GKD-b_9_n25_m7.txt;28.0;21.7391
GKD-b_9_n25_m7.txt;30.0;17.0692
GKD-b_9_n25_m7.txt;30.0;17.0692
GKD-b_10_n25_m7.txt;33.0;26.2379
GKD-b_10_n25_m7.txt;33.0;26.2379
GKD-b_10_n25_m7.txt;34.0;26.2379
GKD-b_10_n25_m7.txt;33.0;26.2379
GKD-b_10_n25_m7.txt;33.0;26.2379
GKD-b_11_n50_m5.txt;21.0;7.39276
GKD-b_11_n50_m5.txt;22.0;6.56927
GKD-b_11_n50_m5.txt;23.0;7.34094
GKD-b_11_n50_m5.txt;23.0;8.65823
GKD-b_11_n50_m5.txt;25.0;7.27478
GKD-b_12_n50_m5.txt;22.0;5.39001
GKD-b_12_n50_m5.txt;24.0;2.4267
GKD-b_12_n50_m5.txt;22.0;9.09644
GKD-b_12_n50_m5.txt;22.0;6.47437
GKD-b_12_n50_m5.txt;23.0;6.3454
GKD-b_13_n50_m5.txt;23.0;9.02551
GKD-b_13_n50_m5.txt;23.0;9.20944
GKD-b_13_n50_m5.txt;22.0;3.0816
GKD-b_13_n50_m5.txt;22.0;7.04346
GKD-b_13_n50_m5.txt;23.0;5.03348
GKD-b_14_n50_m5.txt;28.0;7.44897
GKD-b_14_n50_m5.txt;24.0;10.4715
GKD-b_14_n50_m5.txt;23.0;8.47137
