Fichero;Tiempo;Resultado
GKD-b_1_n25_m2.txt;33.2;0.0
GKD-b_2_n25_m2.txt;33.4;0.0
GKD-b_3_n25_m2.txt;33.2;0.0
GKD-b_4_n25_m2.txt;33.2;0.0
GKD-b_5_n25_m2.txt;33.0;0.0
GKD-b_6_n25_m7.txt;32.4;16.063
GKD-b_7_n25_m7.txt;30.8;17.836
GKD-b_8_n25_m7.txt;31.4;20.324
GKD-b_9_n25_m7.txt;30.0;18.003
GKD-b_10_n25_m7.txt;33.2;26.238
GKD-b_11_n50_m5.txt;22.8;7.447
GKD-b_12_n50_m5.txt;22.6;5.947
GKD-b_13_n50_m5.txt;22.6;6.679
GKD-b_14_n50_m5.txt;23.8;8.867
GKD-b_15_n50_m5.txt;22.6;5.867
GKD-b_16_n50_m15.txt;49.8;55.574
GKD-b_17_n50_m15.txt;50.2;55.246
GKD-b_18_n50_m15.txt;49.2;56.82
GKD-b_19_n50_m15.txt;49.0;59.019
GKD-b_20_n50_m15.txt;49.8;61.228
GKD-b_21_n100_m10.txt;45.0;21.509
GKD-b_22_n100_m10.txt;45.2;23.396
GKD-b_23_n100_m10.txt;46.2;21.263
GKD-b_24_n100_m10.txt;46.2;24.561
GKD-b_25_n100_m10.txt;46.8;23.958
GKD-b_26_n100_m30.txt;143.6;224.024
GKD-b_27_n100_m30.txt;144.0;181.003
GKD-b_28_n100_m30.txt;145.0;164.079
GKD-b_29_n100_m30.txt;142.4;192.066
GKD-b_30_n100_m30.txt;146.8;212.597
GKD-b_31_n125_m12.txt;62.0;20.165
GKD-b_32_n125_m12.txt;61.0;31.317
GKD-b_33_n125_m12.txt;61.8;30.106
GKD-b_34_n125_m12.txt;61.6;34.389
GKD-b_35_n125_m12.txt;61.0;29.958
GKD-b_36_n125_m37.txt;224.6;254.312
GKD-b_37_n125_m37.txt;233.6;305.045
GKD-b_38_n125_m37.txt;226.0;293.46
GKD-b_39_n125_m37.txt;225.4;257.795
GKD-b_40_n125_m37.txt;220.6;298.427
GKD-b_41_n150_m15.txt;87.0;42.409
GKD-b_42_n150_m15.txt;84.0;45.27
GKD-b_43_n150_m15.txt;86.2;40.692
GKD-b_44_n150_m15.txt;84.8;42.584
GKD-b_45_n150_m15.txt;86.6;41.461
GKD-b_46_n150_m45.txt;353.0;374.025
GKD-b_47_n150_m45.txt;346.2;360.77
GKD-b_48_n150_m45.txt;337.4;324.542
GKD-b_49_n150_m45.txt;353.0;418.947
GKD-b_50_n150_m45.txt;345.8;414.76
