Fichero;Tiempo;Resultado
GKD-b_1_n25_m2.txt;43.0;0.0
GKD-b_1_n25_m2.txt;43.0;0.0
GKD-b_1_n25_m2.txt;43.0;0.0
GKD-b_1_n25_m2.txt;43.0;0.0
GKD-b_1_n25_m2.txt;44.0;0.0
GKD-b_2_n25_m2.txt;43.0;0.0
GKD-b_2_n25_m2.txt;43.0;0.0
GKD-b_2_n25_m2.txt;43.0;0.0
GKD-b_2_n25_m2.txt;43.0;0.0
GKD-b_2_n25_m2.txt;43.0;0.0
GKD-b_3_n25_m2.txt;43.0;0.0
GKD-b_3_n25_m2.txt;47.0;0.0
GKD-b_3_n25_m2.txt;44.0;0.0
GKD-b_3_n25_m2.txt;44.0;0.0
GKD-b_3_n25_m2.txt;43.0;0.0
GKD-b_4_n25_m2.txt;43.0;0.0
GKD-b_4_n25_m2.txt;43.0;0.0
GKD-b_4_n25_m2.txt;43.0;0.0
GKD-b_4_n25_m2.txt;43.0;0.0
GKD-b_4_n25_m2.txt;43.0;0.0
GKD-b_5_n25_m2.txt;43.0;0.0
GKD-b_5_n25_m2.txt;43.0;0.0
GKD-b_5_n25_m2.txt;43.0;0.0
GKD-b_5_n25_m2.txt;43.0;0.0
GKD-b_5_n25_m2.txt;43.0;0.0
GKD-b_6_n25_m7.txt;56.0;13.4792
GKD-b_6_n25_m7.txt;57.0;13.4792
GKD-b_6_n25_m7.txt;57.0;13.4792
GKD-b_6_n25_m7.txt;56.0;13.4793
GKD-b_6_n25_m7.txt;56.0;15.2853
GKD-b_7_n25_m7.txt;58.0;14.0986
GKD-b_7_n25_m7.txt;58.0;14.0986
GKD-b_7_n25_m7.txt;61.0;14.0986
GKD-b_7_n25_m7.txt;59.0;17.0248
GKD-b_7_n25_m7.txt;59.0;14.0986
GKD-b_8_n25_m7.txt;58.0;16.7612
GKD-b_8_n25_m7.txt;59.0;21.8265
GKD-b_8_n25_m7.txt;58.0;21.2857
GKD-b_8_n25_m7.txt;57.0;16.7612
GKD-b_8_n25_m7.txt;57.0;16.7612
GKD-b_9_n25_m7.txt;62.0;21.7391
GKD-b_9_n25_m7.txt;62.0;21.7391
GKD-b_9_n25_m7.txt;64.0;17.0692
GKD-b_9_n25_m7.txt;60.0;19.9911
GKD-b_9_n25_m7.txt;59.0;21.7391
GKD-b_10_n25_m7.txt;58.0;26.2379
GKD-b_10_n25_m7.txt;61.0;26.2379
GKD-b_10_n25_m7.txt;57.0;23.2651
GKD-b_10_n25_m7.txt;60.0;26.2379
GKD-b_10_n25_m7.txt;59.0;26.2379
GKD-b_11_n50_m5.txt;45.0;7.89484
GKD-b_11_n50_m5.txt;43.0;7.75836
GKD-b_11_n50_m5.txt;41.0;7.86383
GKD-b_11_n50_m5.txt;42.0;8.60925
GKD-b_11_n50_m5.txt;41.0;7.8078
GKD-b_12_n50_m5.txt;42.0;2.05127
GKD-b_12_n50_m5.txt;42.0;6.80615
GKD-b_12_n50_m5.txt;41.0;6.87866
GKD-b_12_n50_m5.txt;42.0;5.12146
GKD-b_12_n50_m5.txt;42.0;4.79028
GKD-b_13_n50_m5.txt;41.0;9.55923
GKD-b_13_n50_m5.txt;41.0;5.68994
GKD-b_13_n50_m5.txt;42.0;10.7965
GKD-b_13_n50_m5.txt;41.0;6.81427
GKD-b_13_n50_m5.txt;42.0;7.15323
GKD-b_14_n50_m5.txt;40.0;6.12201
GKD-b_14_n50_m5.txt;43.0;7.75519
GKD-b_14_n50_m5.txt;42.0;7.63898
GKD-b_14_n50_m5.txt;41.0;5.22366
GKD-b_14_n50_m5.txt;42.0;7.77081
GKD-b_15_n50_m5.txt;42.0;9.8645
GKD-b_15_n50_m5.txt;42.0;8.1203
GKD-b_15_n50_m5.txt;41.0;5.25049
GKD-b_15_n50_m5.txt;42.0;8.34613
