Fichero;Tiempo;Resultado
GKD-b_1_n25_m2.txt;33.4;0.0
GKD-b_2_n25_m2.txt;33.4;0.0
GKD-b_3_n25_m2.txt;34.0;0.0
GKD-b_4_n25_m2.txt;34.0;0.0
GKD-b_5_n25_m2.txt;33.2;0.0
GKD-b_6_n25_m7.txt;33.8;13.688
GKD-b_7_n25_m7.txt;33.6;14.63
GKD-b_8_n25_m7.txt;32.6;17.601
GKD-b_9_n25_m7.txt;32.8;18.822
GKD-b_10_n25_m7.txt;33.2;26.45
GKD-b_11_n50_m5.txt;23.0;6.983
GKD-b_12_n50_m5.txt;22.2;7.766
GKD-b_13_n50_m5.txt;22.2;7.501
GKD-b_14_n50_m5.txt;23.0;6.403
GKD-b_15_n50_m5.txt;22.4;6.325
GKD-b_16_n50_m15.txt;49.6;59.107
GKD-b_17_n50_m15.txt;50.0;49.851
GKD-b_18_n50_m15.txt;47.8;51.273
GKD-b_19_n50_m15.txt;48.8;52.499
GKD-b_20_n50_m15.txt;48.4;54.136
GKD-b_21_n100_m10.txt;48.6;23.388
GKD-b_22_n100_m10.txt;45.8;25.062
GKD-b_23_n100_m10.txt;46.4;22.183
GKD-b_24_n100_m10.txt;46.4;23.967
GKD-b_25_n100_m10.txt;46.4;19.585
GKD-b_26_n100_m30.txt;142.6;233.631
GKD-b_27_n100_m30.txt;140.6;194.347
GKD-b_28_n100_m30.txt;148.4;194.798
GKD-b_29_n100_m30.txt;143.8;200.389
GKD-b_30_n100_m30.txt;144.8;199.136
GKD-b_31_n125_m12.txt;64.2;23.617
GKD-b_32_n125_m12.txt;62.2;33.98
GKD-b_33_n125_m12.txt;63.4;31.752
GKD-b_34_n125_m12.txt;64.2;33.817
GKD-b_35_n125_m12.txt;63.2;27.811
GKD-b_36_n125_m37.txt;226.2;247.121
GKD-b_37_n125_m37.txt;224.8;357.989
GKD-b_38_n125_m37.txt;217.4;317.733
GKD-b_39_n125_m37.txt;217.8;276.014
GKD-b_40_n125_m37.txt;223.4;328.751
GKD-b_41_n150_m15.txt;87.0;42.123
GKD-b_42_n150_m15.txt;86.4;46.261
GKD-b_43_n150_m15.txt;88.0;43.667
GKD-b_44_n150_m15.txt;86.0;46.042
GKD-b_45_n150_m15.txt;87.4;43.468
GKD-b_46_n150_m45.txt;336.6;437.342
GKD-b_47_n150_m45.txt;346.8;369.289
GKD-b_48_n150_m45.txt;342.0;316.39
GKD-b_49_n150_m45.txt;343.8;426.572
GKD-b_50_n150_m45.txt;333.2;415.09
