Fichero;Tiempo;Resultado
GKD-b_1_n25_m2.txt;32.4;0.0
GKD-b_2_n25_m2.txt;32.4;0.0
GKD-b_3_n25_m2.txt;32.2;0.0
GKD-b_4_n25_m2.txt;31.4;0.0
GKD-b_5_n25_m2.txt;31.2;0.0
GKD-b_6_n25_m7.txt;33.0;13.84
GKD-b_7_n25_m7.txt;28.4;18.119
GKD-b_8_n25_m7.txt;29.4;23.662
GKD-b_9_n25_m7.txt;28.6;17.069
GKD-b_10_n25_m7.txt;30.2;26.238
GKD-b_11_n50_m5.txt;21.8;9.549
GKD-b_12_n50_m5.txt;21.6;8.39
GKD-b_13_n50_m5.txt;21.2;8.237
GKD-b_14_n50_m5.txt;21.4;7.905
GKD-b_15_n50_m5.txt;21.4;8.697
GKD-b_16_n50_m15.txt;45.8;63.908
GKD-b_17_n50_m15.txt;45.8;51.779
GKD-b_18_n50_m15.txt;44.4;56.483
GKD-b_19_n50_m15.txt;45.2;51.754
GKD-b_20_n50_m15.txt;46.0;66.944
GKD-b_21_n100_m10.txt;40.2;22.623
GKD-b_22_n100_m10.txt;40.8;26.229
GKD-b_23_n100_m10.txt;41.8;22.902
GKD-b_24_n100_m10.txt;40.8;23.761
GKD-b_25_n100_m10.txt;40.4;23.887
GKD-b_26_n100_m30.txt;132.8;221.863
GKD-b_27_n100_m30.txt;130.0;187.207
GKD-b_28_n100_m30.txt;130.6;149.479
GKD-b_29_n100_m30.txt;130.2;179.596
GKD-b_30_n100_m30.txt;131.4;193.287
GKD-b_31_n125_m12.txt;56.6;25.982
GKD-b_32_n125_m12.txt;55.4;29.339
GKD-b_33_n125_m12.txt;56.2;29.407
GKD-b_34_n125_m12.txt;54.6;31.496
GKD-b_35_n125_m12.txt;56.4;31.282
GKD-b_36_n125_m37.txt;201.4;242.767
GKD-b_37_n125_m37.txt;208.4;317.474
GKD-b_38_n125_m37.txt;203.8;308.183
GKD-b_39_n125_m37.txt;198.6;264.472
GKD-b_40_n125_m37.txt;198.0;311.061
GKD-b_41_n150_m15.txt;75.6;43.632
GKD-b_42_n150_m15.txt;74.4;39.892
GKD-b_43_n150_m15.txt;74.8;41.919
GKD-b_44_n150_m15.txt;75.0;42.445
GKD-b_45_n150_m15.txt;74.8;41.363
GKD-b_46_n150_m45.txt;310.8;361.611
GKD-b_47_n150_m45.txt;315.4;384.763
GKD-b_48_n150_m45.txt;304.4;321.987
GKD-b_49_n150_m45.txt;311.0;389.334
GKD-b_50_n150_m45.txt;309.0;435.903
