Fichero;Tiempo;Resultado;Evaluaciones
GKD-b_1_n25_m2.txt;0.0;0.0;460.0
GKD-b_1_n25_m2.txt;0.0;0.0;460.0
GKD-b_1_n25_m2.txt;0.0;0.0;460.0
GKD-b_1_n25_m2.txt;0.0;0.0;460.0
GKD-b_1_n25_m2.txt;0.0;0.0;460.0
GKD-b_2_n25_m2.txt;0.0;0.0;460.0
GKD-b_2_n25_m2.txt;0.0;0.0;460.0
GKD-b_2_n25_m2.txt;0.0;0.0;460.0
GKD-b_2_n25_m2.txt;0.0;0.0;460.0
GKD-b_2_n25_m2.txt;0.0;0.0;460.0
GKD-b_3_n25_m2.txt;0.0;0.0;460.0
GKD-b_3_n25_m2.txt;0.0;0.0;460.0
GKD-b_3_n25_m2.txt;0.0;0.0;460.0
GKD-b_3_n25_m2.txt;0.0;0.0;460.0
GKD-b_3_n25_m2.txt;0.0;0.0;460.0
GKD-b_4_n25_m2.txt;0.0;0.0;460.0
GKD-b_4_n25_m2.txt;0.0;0.0;460.0
GKD-b_4_n25_m2.txt;0.0;0.0;460.0
GKD-b_4_n25_m2.txt;0.0;0.0;460.0
GKD-b_4_n25_m2.txt;0.0;0.0;460.0
GKD-b_5_n25_m2.txt;0.0;0.0;460.0
GKD-b_5_n25_m2.txt;0.0;0.0;460.0
GKD-b_5_n25_m2.txt;0.0;0.0;460.0
GKD-b_5_n25_m2.txt;0.0;0.0;460.0
GKD-b_5_n25_m2.txt;0.0;0.0;460.0
GKD-b_6_n25_m7.txt;7.0;27.2722;2821.0
GKD-b_6_n25_m7.txt;5.0;21.6578;2472.0
GKD-b_6_n25_m7.txt;6.0;20.0439;2724.0
GKD-b_6_n25_m7.txt;5.0;12.718;2503.0
GKD-b_6_n25_m7.txt;5.0;23.9673;2773.0
GKD-b_7_n25_m7.txt;5.0;18.7078;1877.0
GKD-b_7_n25_m7.txt;5.0;19.6091;2464.0
GKD-b_7_n25_m7.txt;5.0;19.0249;2374.0
GKD-b_7_n25_m7.txt;5.0;14.0988;2393.0
GKD-b_7_n25_m7.txt;6.0;19.0249;3049.0
GKD-b_8_n25_m7.txt;6.0;21.2857;2793.0
GKD-b_8_n25_m7.txt;7.0;16.7612;3159.0
GKD-b_8_n25_m7.txt;6.0;16.7612;2745.0
GKD-b_8_n25_m7.txt;5.0;20.9589;2569.0
GKD-b_8_n25_m7.txt;5.0;16.7612;2578.0
GKD-b_9_n25_m7.txt;8.0;21.7391;3087.0
GKD-b_9_n25_m7.txt;6.0;19.9912;2753.0
GKD-b_9_n25_m7.txt;7.0;25.5399;3622.0
GKD-b_9_n25_m7.txt;5.0;17.0692;2595.0
GKD-b_9_n25_m7.txt;5.0;21.7391;2461.0
GKD-b_10_n25_m7.txt;7.0;23.2653;3314.0
GKD-b_10_n25_m7.txt;5.0;30.2732;2758.0
GKD-b_10_n25_m7.txt;5.0;28.251;2667.0
GKD-b_10_n25_m7.txt;4.0;31.1587;2081.0
GKD-b_10_n25_m7.txt;7.0;30.9835;3028.0
GKD-b_11_n50_m5.txt;7.0;6.49548;3532.0
GKD-b_11_n50_m5.txt;7.0;4.92896;4102.0
GKD-b_11_n50_m5.txt;8.0;8.88104;5036.0
GKD-b_11_n50_m5.txt;7.0;6.12579;4107.0
GKD-b_11_n50_m5.txt;6.0;5.34503;4040.0
GKD-b_12_n50_m5.txt;8.0;2.05127;4410.0
GKD-b_12_n50_m5.txt;6.0;10.1307;3456.0
GKD-b_12_n50_m5.txt;8.0;8.69495;4519.0
GKD-b_12_n50_m5.txt;7.0;5.0932;4107.0
GKD-b_12_n50_m5.txt;7.0;2.91382;4139.0
GKD-b_13_n50_m5.txt;9.0;12.0404;4533.0
GKD-b_13_n50_m5.txt;9.0;8.74905;4758.0
GKD-b_13_n50_m5.txt;7.0;9.64719;3736.0
GKD-b_13_n50_m5.txt;7.0;8.84348;4100.0
GKD-b_13_n50_m5.txt;7.0;9.59183;3617.0
GKD-b_14_n50_m5.txt;9.0;9.0741;4402.0
GKD-b_14_n50_m5.txt;7.0;6.48392;4335.0
GKD-b_14_n50_m5.txt;7.0;7.30652;3694.0
GKD-b_14_n50_m5.txt;8.0;7.78613;4264.0
GKD-b_14_n50_m5.txt;8.0;10.2444;4261.0
GKD-b_15_n50_m5.txt;9.0;6.37134;4456.0
GKD-b_15_n50_m5.txt;8.0;8.95142;4083.0
GKD-b_15_n50_m5.txt;9.0;3.39441;4569.0
GKD-b_15_n50_m5.txt;7.0;5.54553;4035.0
GKD-b_15_n50_m5.txt;7.0;8.07916;3480.0
GKD-b_16_n50_m15.txt;59.0;83.8253;18163.0
GKD-b_16_n50_m15.txt;50.0;70.7643;16365.0
GKD-b_16_n50_m15.txt;46.0;64.1577;14802.0
GKD-b_16_n50_m15.txt;46.0;53.8859;15292.0
GKD-b_16_n50_m15.txt;47.0;42.7458;16140.0
GKD-b_17_n50_m15.txt;53.0;74.7455;15796.0
GKD-b_17_n50_m15.txt;53.0;73.0168;16829.0
GKD-b_17_n50_m15.txt;45.0;90.3511;15413.0
GKD-b_17_n50_m15.txt;52.0;56.6031;16032.0
GKD-b_17_n50_m15.txt;47.0;64.2954;15390.0
GKD-b_18_n50_m15.txt;51.0;54.7948;18413.0
GKD-b_18_n50_m15.txt;40.0;57.3248;12858.0
GKD-b_18_n50_m15.txt;42.0;79.9517;15182.0
GKD-b_18_n50_m15.txt;42.0;69.9994;15380.0
GKD-b_18_n50_m15.txt;40.0;76.8898;13611.0
GKD-b_19_n50_m15.txt;46.0;53.8508;13401.0
GKD-b_19_n50_m15.txt;40.0;70.2052;13109.0
GKD-b_19_n50_m15.txt;34.0;72.8334;11692.0
GKD-b_19_n50_m15.txt;45.0;78.635;16228.0
GKD-b_19_n50_m15.txt;40.0;93.0358;13248.0
GKD-b_20_n50_m15.txt;49.0;68.9185;15079.0
GKD-b_20_n50_m15.txt;38.0;74.9546;12665.0
GKD-b_20_n50_m15.txt;38.0;74.4761;13379.0
GKD-b_20_n50_m15.txt;45.0;69.0381;16052.0
GKD-b_20_n50_m15.txt;39.0;60.264;12751.0
GKD-b_21_n100_m10.txt;62.0;25.0142;21941.0
GKD-b_21_n100_m10.txt;51.0;33.5595;18521.0
GKD-b_21_n100_m10.txt;61.0;21.1564;19151.0
