Fichero;Tiempo;Resultado;Evaluaciones
GKD-b_1_n25_m2.txt;0.0;0.0;0.0
GKD-b_1_n25_m2.txt;0.0;0.0;0.0
GKD-b_1_n25_m2.txt;0.0;0.0;0.0
GKD-b_1_n25_m2.txt;0.0;0.0;0.0
GKD-b_1_n25_m2.txt;0.0;0.0;0.0
GKD-b_2_n25_m2.txt;0.0;0.0;0.0
GKD-b_2_n25_m2.txt;0.0;0.0;0.0
GKD-b_2_n25_m2.txt;0.0;0.0;0.0
GKD-b_2_n25_m2.txt;0.0;0.0;0.0
GKD-b_2_n25_m2.txt;0.0;0.0;0.0
GKD-b_3_n25_m2.txt;0.0;0.0;0.0
GKD-b_3_n25_m2.txt;0.0;0.0;0.0
GKD-b_3_n25_m2.txt;0.0;0.0;0.0
GKD-b_3_n25_m2.txt;0.0;0.0;0.0
GKD-b_3_n25_m2.txt;0.0;0.0;0.0
GKD-b_4_n25_m2.txt;0.0;0.0;0.0
GKD-b_4_n25_m2.txt;0.0;0.0;0.0
GKD-b_4_n25_m2.txt;0.0;0.0;0.0
GKD-b_4_n25_m2.txt;0.0;0.0;0.0
GKD-b_4_n25_m2.txt;0.0;0.0;0.0
GKD-b_5_n25_m2.txt;0.0;0.0;0.0
GKD-b_5_n25_m2.txt;0.0;0.0;0.0
GKD-b_5_n25_m2.txt;0.0;0.0;0.0
GKD-b_5_n25_m2.txt;0.0;0.0;0.0
GKD-b_5_n25_m2.txt;0.0;0.0;0.0
GKD-b_6_n25_m7.txt;1.0;34.7928;378.0
GKD-b_6_n25_m7.txt;1.0;43.1323;378.0
GKD-b_6_n25_m7.txt;2.0;45.9299;525.0
GKD-b_6_n25_m7.txt;1.0;25.7563;392.0
GKD-b_6_n25_m7.txt;1.0;41.1841;378.0
GKD-b_7_n25_m7.txt;1.0;20.0248;378.0
GKD-b_7_n25_m7.txt;1.0;25.6926;378.0
GKD-b_7_n25_m7.txt;1.0;30.3883;375.0
GKD-b_7_n25_m7.txt;1.0;17.0248;378.0
GKD-b_7_n25_m7.txt;2.0;40.7405;525.0
GKD-b_8_n25_m7.txt;1.0;47.9331;406.0
GKD-b_8_n25_m7.txt;2.0;31.6959;630.0
GKD-b_8_n25_m7.txt;2.0;37.3129;378.0
GKD-b_8_n25_m7.txt;1.0;23.7855;378.0
GKD-b_8_n25_m7.txt;1.0;26.1568;378.0
GKD-b_9_n25_m7.txt;2.0;35.1333;524.0
GKD-b_9_n25_m7.txt;1.0;22.5561;392.0
GKD-b_9_n25_m7.txt;2.0;21.0833;527.0
GKD-b_9_n25_m7.txt;1.0;26.5005;399.0
GKD-b_9_n25_m7.txt;1.0;38.5767;396.0
GKD-b_10_n25_m7.txt;2.0;18.9854;658.0
GKD-b_10_n25_m7.txt;1.0;36.4858;378.0
GKD-b_10_n25_m7.txt;2.0;46.9387;532.0
GKD-b_10_n25_m7.txt;1.0;62.3257;420.0
GKD-b_10_n25_m7.txt;1.0;57.3579;380.0
GKD-b_11_n50_m5.txt;2.0;3.91119;675.0
GKD-b_11_n50_m5.txt;2.0;19.278;675.0
GKD-b_11_n50_m5.txt;2.0;12.6586;675.0
GKD-b_11_n50_m5.txt;2.0;14.6829;592.0
GKD-b_11_n50_m5.txt;2.0;10.3074;670.0
GKD-b_12_n50_m5.txt;4.0;11.8037;1039.0
GKD-b_12_n50_m5.txt;3.0;13.5942;900.0
GKD-b_12_n50_m5.txt;2.0;13.9835;675.0
GKD-b_12_n50_m5.txt;2.0;12.756;617.0
GKD-b_12_n50_m5.txt;2.0;11.6589;873.0
GKD-b_13_n50_m5.txt;2.0;8.86578;695.0
GKD-b_13_n50_m5.txt;1.0;14.6971;569.0
GKD-b_13_n50_m5.txt;1.0;16.9447;558.0
GKD-b_13_n50_m5.txt;1.0;15.9256;560.0
GKD-b_13_n50_m5.txt;1.0;9.05322;742.0
GKD-b_14_n50_m5.txt;1.0;15.5496;574.0
GKD-b_14_n50_m5.txt;2.0;13.4081;1029.0
GKD-b_14_n50_m5.txt;1.0;16.7205;675.0
GKD-b_14_n50_m5.txt;1.0;13.3572;675.0
GKD-b_14_n50_m5.txt;2.0;1.66318;1125.0
GKD-b_15_n50_m5.txt;2.0;14.2104;554.0
GKD-b_15_n50_m5.txt;2.0;9.98169;1121.0
