Fichero;Tiempo;Resultado;Evaluaciones
GKD-b_1_n25_m2.txt;0.0;0.0;470.0
GKD-b_1_n25_m2.txt;0.0;0.0;470.0
GKD-b_1_n25_m2.txt;0.0;0.0;470.0
GKD-b_1_n25_m2.txt;0.0;0.0;470.0
GKD-b_1_n25_m2.txt;0.0;0.0;470.0
GKD-b_2_n25_m2.txt;0.0;0.0;470.0
GKD-b_2_n25_m2.txt;0.0;0.0;470.0
GKD-b_2_n25_m2.txt;0.0;0.0;470.0
GKD-b_2_n25_m2.txt;0.0;0.0;470.0
GKD-b_2_n25_m2.txt;0.0;0.0;470.0
GKD-b_3_n25_m2.txt;0.0;0.0;470.0
GKD-b_3_n25_m2.txt;0.0;0.0;470.0
GKD-b_3_n25_m2.txt;0.0;0.0;470.0
GKD-b_3_n25_m2.txt;0.0;0.0;470.0
GKD-b_3_n25_m2.txt;0.0;0.0;470.0
GKD-b_4_n25_m2.txt;0.0;0.0;470.0
GKD-b_4_n25_m2.txt;0.0;0.0;470.0
GKD-b_4_n25_m2.txt;0.0;0.0;470.0
GKD-b_4_n25_m2.txt;0.0;0.0;470.0
GKD-b_4_n25_m2.txt;0.0;0.0;470.0
GKD-b_5_n25_m2.txt;0.0;0.0;470.0
GKD-b_5_n25_m2.txt;0.0;0.0;470.0
GKD-b_5_n25_m2.txt;0.0;0.0;470.0
GKD-b_5_n25_m2.txt;0.0;0.0;470.0
GKD-b_5_n25_m2.txt;0.0;0.0;470.0
GKD-b_6_n25_m7.txt;6.0;15.2853;2803.0
GKD-b_6_n25_m7.txt;6.0;20.0439;2465.0
GKD-b_6_n25_m7.txt;7.0;15.2853;2649.0
GKD-b_6_n25_m7.txt;5.0;27.352;2135.0
GKD-b_6_n25_m7.txt;5.0;15.2853;2498.0
GKD-b_7_n25_m7.txt;5.0;19.4778;2060.0
GKD-b_7_n25_m7.txt;6.0;18.7078;2254.0
GKD-b_7_n25_m7.txt;6.0;19.0249;2720.0
GKD-b_7_n25_m7.txt;5.0;19.6143;2397.0
GKD-b_7_n25_m7.txt;5.0;14.0988;2284.0
GKD-b_8_n25_m7.txt;5.0;20.9589;1805.0
GKD-b_8_n25_m7.txt;5.0;20.9589;2321.0
GKD-b_8_n25_m7.txt;6.0;33.8779;2775.0
GKD-b_8_n25_m7.txt;6.0;29.2816;2620.0
GKD-b_8_n25_m7.txt;5.0;21.2857;2318.0
GKD-b_9_n25_m7.txt;6.0;21.7391;2309.0
GKD-b_9_n25_m7.txt;6.0;21.7391;2438.0
GKD-b_9_n25_m7.txt;6.0;17.0692;2283.0
GKD-b_9_n25_m7.txt;6.0;17.0692;2666.0
GKD-b_9_n25_m7.txt;6.0;17.0692;2959.0
GKD-b_10_n25_m7.txt;5.0;31.2605;2191.0
GKD-b_10_n25_m7.txt;5.0;30.9835;2230.0
GKD-b_10_n25_m7.txt;6.0;23.2653;2506.0
GKD-b_10_n25_m7.txt;5.0;23.2653;2426.0
GKD-b_10_n25_m7.txt;6.0;26.8843;2832.0
GKD-b_11_n50_m5.txt;9.0;6.12579;4438.0
GKD-b_11_n50_m5.txt;7.0;7.33539;3520.0
GKD-b_11_n50_m5.txt;8.0;9.17969;3631.0
GKD-b_11_n50_m5.txt;9.0;6.8974;4348.0
GKD-b_11_n50_m5.txt;6.0;7.36078;3027.0
GKD-b_12_n50_m5.txt;9.0;6.02264;4258.0
GKD-b_12_n50_m5.txt;8.0;8.36078;4063.0
GKD-b_12_n50_m5.txt;8.0;6.27246;4153.0
GKD-b_12_n50_m5.txt;8.0;8.0144;4574.0
GKD-b_12_n50_m5.txt;7.0;4.49579;3866.0
GKD-b_13_n50_m5.txt;8.0;4.02051;3769.0
GKD-b_13_n50_m5.txt;8.0;9.56122;4450.0
GKD-b_13_n50_m5.txt;8.0;6.49631;3725.0
GKD-b_13_n50_m5.txt;7.0;8.2132;3452.0
GKD-b_13_n50_m5.txt;7.0;5.03351;3551.0
GKD-b_14_n50_m5.txt;9.0;4.76233;3925.0
GKD-b_14_n50_m5.txt;8.0;8.38196;4067.0
GKD-b_14_n50_m5.txt;8.0;5.56293;4334.0
GKD-b_14_n50_m5.txt;7.0;5.953;4025.0
GKD-b_14_n50_m5.txt;8.0;2.92218;4498.0
GKD-b_15_n50_m5.txt;7.0;3.39441;3449.0
GKD-b_15_n50_m5.txt;7.0;6.31494;3657.0
GKD-b_15_n50_m5.txt;8.0;7.11749;4095.0
GKD-b_15_n50_m5.txt;8.0;6.31494;3780.0
GKD-b_15_n50_m5.txt;8.0;8.62891;3972.0
GKD-b_16_n50_m15.txt;53.0;69.4244;16907.0
GKD-b_16_n50_m15.txt;34.0;111.931;11662.0
GKD-b_16_n50_m15.txt;41.0;64.7849;13666.0
GKD-b_16_n50_m15.txt;43.0;84.7953;14573.0
GKD-b_16_n50_m15.txt;50.0;80.9525;17463.0
GKD-b_17_n50_m15.txt;47.0;89.0703;14351.0
GKD-b_17_n50_m15.txt;43.0;65.4676;13781.0
GKD-b_17_n50_m15.txt;45.0;56.6031;15090.0
GKD-b_17_n50_m15.txt;51.0;82.3943;18429.0
GKD-b_17_n50_m15.txt;39.0;85.837;12861.0
GKD-b_18_n50_m15.txt;36.0;73.9305;12285.0
GKD-b_18_n50_m15.txt;38.0;70.7446;14466.0
GKD-b_18_n50_m15.txt;33.0;65.6293;11236.0
GKD-b_18_n50_m15.txt;39.0;84.3511;14946.0
GKD-b_18_n50_m15.txt;33.0;56.2378;12450.0
GKD-b_19_n50_m15.txt;40.0;78.0021;13890.0
GKD-b_19_n50_m15.txt;37.0;85.7504;12770.0
GKD-b_19_n50_m15.txt;40.0;69.5497;14575.0
GKD-b_19_n50_m15.txt;34.0;86.921;11453.0
GKD-b_19_n50_m15.txt;36.0;68.1112;12363.0
GKD-b_20_n50_m15.txt;36.0;65.2651;13512.0
GKD-b_20_n50_m15.txt;32.0;71.6732;11320.0
GKD-b_20_n50_m15.txt;35.0;68.0015;11575.0
GKD-b_20_n50_m15.txt;38.0;73.0457;12951.0
GKD-b_20_n50_m15.txt;36.0;79.1708;11983.0
GKD-b_21_n100_m10.txt;53.0;26.8626;21598.0
GKD-b_21_n100_m10.txt;56.0;16.3546;20416.0
GKD-b_21_n100_m10.txt;49.0;28.4062;17662.0
GKD-b_21_n100_m10.txt;52.0;40.4862;21718.0
GKD-b_21_n100_m10.txt;54.0;24.8678;21284.0
GKD-b_22_n100_m10.txt;54.0;26.0973;20274.0
GKD-b_22_n100_m10.txt;54.0;20.1078;22385.0
GKD-b_22_n100_m10.txt;49.0;16.8232;19054.0
GKD-b_22_n100_m10.txt;57.0;26.7078;19881.0
GKD-b_22_n100_m10.txt;46.0;23.9468;19424.0
GKD-b_23_n100_m10.txt;43.0;22.5782;17165.0
GKD-b_23_n100_m10.txt;53.0;28.8257;21055.0
GKD-b_23_n100_m10.txt;47.0;26.7457;20076.0
GKD-b_23_n100_m10.txt;45.0;24.1046;16405.0
GKD-b_23_n100_m10.txt;59.0;33.3663;22536.0
GKD-b_24_n100_m10.txt;48.0;28.8439;16124.0
GKD-b_24_n100_m10.txt;47.0;26.5427;20128.0
GKD-b_24_n100_m10.txt;47.0;30.5555;18494.0
GKD-b_24_n100_m10.txt;50.0;32.0294;20422.0
GKD-b_24_n100_m10.txt;43.0;25.7697;15830.0
GKD-b_25_n100_m10.txt;51.0;23.4344;18402.0
GKD-b_25_n100_m10.txt;52.0;27.785;21430.0
GKD-b_25_n100_m10.txt;45.0;30.4087;17022.0
GKD-b_25_n100_m10.txt;45.0;20.0858;16252.0
GKD-b_25_n100_m10.txt;43.0;27.4258;15451.0
GKD-b_26_n100_m30.txt;340.0;258.37;70643.0
GKD-b_26_n100_m30.txt;296.0;256.076;62360.0
GKD-b_26_n100_m30.txt;331.0;225.499;72809.0
GKD-b_26_n100_m30.txt;312.0;256.705;64820.0
GKD-b_26_n100_m30.txt;314.0;223.768;62278.0
GKD-b_27_n100_m30.txt;313.0;188.835;65756.0
GKD-b_27_n100_m30.txt;294.0;210.955;61809.0
GKD-b_27_n100_m30.txt;336.0;238.388;70427.0
GKD-b_27_n100_m30.txt;325.0;264.036;65165.0
GKD-b_27_n100_m30.txt;313.0;236.455;64421.0
GKD-b_28_n100_m30.txt;330.0;234.092;68879.0
GKD-b_28_n100_m30.txt;310.0;179.605;60693.0
GKD-b_28_n100_m30.txt;319.0;221.584;68283.0
GKD-b_28_n100_m30.txt;309.0;148.468;60268.0
GKD-b_28_n100_m30.txt;343.0;153.926;71449.0
GKD-b_29_n100_m30.txt;310.0;219.912;59914.0
GKD-b_29_n100_m30.txt;273.0;195.589;54306.0
GKD-b_29_n100_m30.txt;320.0;208.179;70823.0
GKD-b_29_n100_m30.txt;321.0;200.276;66134.0
GKD-b_29_n100_m30.txt;255.0;180.351;51235.0
GKD-b_30_n100_m30.txt;314.0;196.361;65581.0
GKD-b_30_n100_m30.txt;286.0;238.912;56662.0
GKD-b_30_n100_m30.txt;310.0;219.401;64564.0
GKD-b_30_n100_m30.txt;350.0;186.437;67251.0
GKD-b_30_n100_m30.txt;352.0;225.27;72151.0
GKD-b_31_n125_m12.txt;123.0;18.1703;46758.0
GKD-b_31_n125_m12.txt;120.0;21.0685;39664.0
GKD-b_31_n125_m12.txt;126.0;21.1776;48318.0
GKD-b_31_n125_m12.txt;119.0;25.6455;39922.0
GKD-b_31_n125_m12.txt;126.0;19.1774;44268.0
GKD-b_32_n125_m12.txt;81.0;27.8168;31972.0
GKD-b_32_n125_m12.txt;89.0;28.9194;34679.0
GKD-b_32_n125_m12.txt;75.0;24.738;26141.0
GKD-b_32_n125_m12.txt;90.0;32.6182;34376.0
GKD-b_32_n125_m12.txt;83.0;34.1693;31271.0
GKD-b_33_n125_m12.txt;85.0;30.6124;29414.0
GKD-b_33_n125_m12.txt;95.0;27.4826;38473.0
GKD-b_33_n125_m12.txt;79.0;41.2842;27879.0
GKD-b_33_n125_m12.txt;88.0;35.9378;33240.0
GKD-b_33_n125_m12.txt;79.0;25.0624;29170.0
GKD-b_34_n125_m12.txt;77.0;33.5149;28083.0
GKD-b_34_n125_m12.txt;84.0;41.0721;29195.0
GKD-b_34_n125_m12.txt;88.0;41.6299;33001.0
GKD-b_34_n125_m12.txt;85.0;38.3929;31726.0
GKD-b_34_n125_m12.txt;82.0;39.89;28913.0
GKD-b_35_n125_m12.txt;88.0;31.0735;34220.0
GKD-b_35_n125_m12.txt;86.0;39.7837;30920.0
GKD-b_35_n125_m12.txt;91.0;36.8215;30065.0
GKD-b_35_n125_m12.txt;100.0;34.5687;36236.0
GKD-b_35_n125_m12.txt;93.0;32.8179;32621.0
GKD-b_36_n125_m37.txt;534.0;258.704;84912.0
GKD-b_36_n125_m37.txt;530.0;225.824;88652.0
GKD-b_36_n125_m37.txt;562.0;290.023;90666.0
GKD-b_36_n125_m37.txt;550.0;248.653;83706.0
GKD-b_36_n125_m37.txt;575.0;204.791;87128.0
GKD-b_37_n125_m37.txt;559.0;353.115;85881.0
GKD-b_37_n125_m37.txt;575.0;347.527;83870.0
GKD-b_37_n125_m37.txt;583.0;301.019;87392.0
GKD-b_37_n125_m37.txt;542.0;260.272;83263.0
GKD-b_37_n125_m37.txt;564.0;335.416;85298.0
GKD-b_38_n125_m37.txt;554.0;283.419;86171.0
GKD-b_38_n125_m37.txt;540.0;289.88;85076.0
GKD-b_38_n125_m37.txt;521.0;367.401;82795.0
GKD-b_38_n125_m37.txt;506.0;344.766;79323.0
GKD-b_38_n125_m37.txt;575.0;240.387;89630.0
GKD-b_39_n125_m37.txt;570.0;297.506;88702.0
GKD-b_39_n125_m37.txt;563.0;240.802;92720.0
GKD-b_39_n125_m37.txt;518.0;268.79;78757.0
GKD-b_39_n125_m37.txt;528.0;310.956;82151.0
GKD-b_39_n125_m37.txt;541.0;261.388;90766.0
GKD-b_40_n125_m37.txt;540.0;202.888;88520.0
GKD-b_40_n125_m37.txt;506.0;257.523;85651.0
GKD-b_40_n125_m37.txt;509.0;276.137;88068.0
GKD-b_40_n125_m37.txt;520.0;301.208;84766.0
GKD-b_40_n125_m37.txt;518.0;271.549;85332.0
GKD-b_41_n150_m15.txt;153.0;38.7239;50204.0
GKD-b_41_n150_m15.txt;168.0;38.8398;57041.0
GKD-b_41_n150_m15.txt;150.0;48.8369;42587.0
GKD-b_41_n150_m15.txt;164.0;46.3564;58695.0
GKD-b_41_n150_m15.txt;151.0;46.1443;46315.0
GKD-b_42_n150_m15.txt;176.0;37.2657;53270.0
GKD-b_42_n150_m15.txt;175.0;41.8312;60267.0
GKD-b_42_n150_m15.txt;154.0;43.9193;52177.0
GKD-b_42_n150_m15.txt;163.0;49.137;51432.0
GKD-b_42_n150_m15.txt;172.0;46.1675;52695.0
GKD-b_43_n150_m15.txt;174.0;55.0376;56516.0
GKD-b_43_n150_m15.txt;156.0;40.9088;45346.0
GKD-b_43_n150_m15.txt;145.0;64.024;40173.0
GKD-b_43_n150_m15.txt;155.0;59.7662;48356.0
GKD-b_43_n150_m15.txt;159.0;53.0475;53304.0
GKD-b_44_n150_m15.txt;170.0;51.1394;54561.0
GKD-b_44_n150_m15.txt;138.0;50.0116;44212.0
GKD-b_44_n150_m15.txt;155.0;46.1681;50022.0
GKD-b_44_n150_m15.txt;150.0;48.0112;43539.0
GKD-b_44_n150_m15.txt;180.0;38.4099;61907.0
GKD-b_45_n150_m15.txt;154.0;41.5441;49790.0
GKD-b_45_n150_m15.txt;159.0;45.4604;53453.0
GKD-b_45_n150_m15.txt;164.0;37.2222;52206.0
GKD-b_45_n150_m15.txt;173.0;35.4167;56964.0
GKD-b_45_n150_m15.txt;139.0;46.9407;45419.0
GKD-b_46_n150_m45.txt;851.0;372.285;98062.0
GKD-b_46_n150_m45.txt;816.0;438.501;94854.0
GKD-b_46_n150_m45.txt;786.0;365.576;90965.0
GKD-b_46_n150_m45.txt;851.0;373.795;99738.0
GKD-b_46_n150_m45.txt;902.0;342.415;99564.0
GKD-b_47_n150_m45.txt;860.0;331.658;97819.0
GKD-b_47_n150_m45.txt;850.0;380.965;95156.0
GKD-b_47_n150_m45.txt;827.0;436.28;99528.0
GKD-b_47_n150_m45.txt;834.0;375.038;97380.0
GKD-b_47_n150_m45.txt;900.0;303.874;100010.0
GKD-b_48_n150_m45.txt;878.0;401.706;99447.0
GKD-b_48_n150_m45.txt;908.0;409.777;94605.0
GKD-b_48_n150_m45.txt;815.0;390.661;95957.0
GKD-b_48_n150_m45.txt;863.0;386.514;99077.0
GKD-b_48_n150_m45.txt;745.0;369.239;91287.0
GKD-b_49_n150_m45.txt;797.0;383.971;97527.0
GKD-b_49_n150_m45.txt;821.0;414.199;100010.0
GKD-b_49_n150_m45.txt;797.0;430.25;96043.0
GKD-b_49_n150_m45.txt;806.0;462.809;94277.0
GKD-b_49_n150_m45.txt;822.0;387.107;96008.0
GKD-b_50_n150_m45.txt;853.0;381.861;93138.0
GKD-b_50_n150_m45.txt;873.0;410.521;96067.0
GKD-b_50_n150_m45.txt;873.0;369.799;100010.0
GKD-b_50_n150_m45.txt;853.0;390.811;99424.0
GKD-b_50_n150_m45.txt;878.0;424.712;100010.0
