Fichero;Tiempo;Resultado;Evaluaciones
GKD-b_1_n25_m2.txt;0.0;0.0;460.0
GKD-b_2_n25_m2.txt;0.0;0.0;460.0
GKD-b_3_n25_m2.txt;0.0;0.0;460.0
GKD-b_4_n25_m2.txt;0.0;0.0;460.0
GKD-b_5_n25_m2.txt;0.0;0.0;460.0
GKD-b_6_n25_m7.txt;5.6;21.132;2658.6
GKD-b_7_n25_m7.txt;5.2;18.093;2431.4
GKD-b_8_n25_m7.txt;5.8;18.506;2768.8
GKD-b_9_n25_m7.txt;6.2;21.216;2903.6
GKD-b_10_n25_m7.txt;5.6;28.786;2769.6
GKD-b_11_n50_m5.txt;7.0;6.355;4163.4
GKD-b_12_n50_m5.txt;7.2;5.777;4126.2
GKD-b_13_n50_m5.txt;7.8;9.774;4148.8
GKD-b_14_n50_m5.txt;7.8;8.179;4191.2
GKD-b_15_n50_m5.txt;8.0;6.468;4124.6
GKD-b_16_n50_m15.txt;49.6;63.076;16152.4
GKD-b_17_n50_m15.txt;50.0;71.802;15892.0
GKD-b_18_n50_m15.txt;43.0;67.792;15088.8
GKD-b_19_n50_m15.txt;41.0;73.712;13535.6
GKD-b_20_n50_m15.txt;41.8;69.53;13985.2
GKD-b_21_n100_m10.txt;60.8;25.65;21294.6
GKD-b_22_n100_m10.txt;53.6;26.98;19719.8
GKD-b_23_n100_m10.txt;53.8;25.725;20793.2
GKD-b_24_n100_m10.txt;46.4;28.635;17625.4
GKD-b_25_n100_m10.txt;49.4;30.021;18641.0
GKD-b_26_n100_m30.txt;350.8;244.948;67725.4
GKD-b_27_n100_m30.txt;347.0;206.387;69014.6
GKD-b_28_n100_m30.txt;375.2;227.109;71801.2
GKD-b_29_n100_m30.txt;331.4;200.127;65355.4
GKD-b_30_n100_m30.txt;349.8;217.427;67333.6
GKD-b_31_n125_m12.txt;152.8;24.362;48753.6
GKD-b_32_n125_m12.txt;88.2;33.746;31317.2
GKD-b_33_n125_m12.txt;96.0;35.026;31618.8
GKD-b_34_n125_m12.txt;101.4;33.994;32595.2
GKD-b_35_n125_m12.txt;99.2;32.348;34150.8
GKD-b_36_n125_m37.txt;630.2;271.822;91658.6
GKD-b_37_n125_m37.txt;600.4;353.057;84989.8
GKD-b_38_n125_m37.txt;602.6;341.573;87166.6
GKD-b_39_n125_m37.txt;580.2;300.199;86291.8
GKD-b_40_n125_m37.txt;582.4;315.443;88354.8
GKD-b_41_n150_m15.txt;164.8;40.826;50648.6
GKD-b_42_n150_m15.txt;166.8;43.805;49571.4
GKD-b_43_n150_m15.txt;175.6;51.479;50829.2
GKD-b_44_n150_m15.txt;171.0;39.43;51826.4
GKD-b_45_n150_m15.txt;166.8;43.863;51980.4
GKD-b_46_n150_m45.txt;925.2;464.508;98230.4
GKD-b_47_n150_m45.txt;926.0;392.046;96499.4
GKD-b_48_n150_m45.txt;972.8;352.426;97837.2
GKD-b_49_n150_m45.txt;897.2;374.582;96206.8
GKD-b_50_n150_m45.txt;930.6;427.844;96474.0
