Fichero;Tiempo;Resultado;Evaluaciones
GKD-b_1_n25_m2.txt;0.0;0.0;470.0
GKD-b_2_n25_m2.txt;0.0;0.0;470.0
GKD-b_3_n25_m2.txt;0.0;0.0;470.0
GKD-b_4_n25_m2.txt;0.0;0.0;470.0
GKD-b_5_n25_m2.txt;0.0;0.0;470.0
GKD-b_6_n25_m7.txt;5.8;18.65;2510.0
GKD-b_7_n25_m7.txt;5.4;18.185;2343.0
GKD-b_8_n25_m7.txt;5.4;25.273;2367.8
GKD-b_9_n25_m7.txt;6.0;18.937;2531.0
GKD-b_10_n25_m7.txt;5.4;27.132;2437.0
GKD-b_11_n50_m5.txt;7.8;7.38;3792.8
GKD-b_12_n50_m5.txt;8.0;6.633;4182.8
GKD-b_13_n50_m5.txt;7.6;6.665;3789.4
GKD-b_14_n50_m5.txt;8.0;5.516;4169.8
GKD-b_15_n50_m5.txt;7.6;6.354;3790.6
GKD-b_16_n50_m15.txt;44.2;82.378;14854.2
GKD-b_17_n50_m15.txt;45.0;75.874;14902.4
GKD-b_18_n50_m15.txt;35.8;70.179;13076.6
GKD-b_19_n50_m15.txt;37.4;77.667;13010.2
GKD-b_20_n50_m15.txt;35.4;71.431;12268.2
GKD-b_21_n100_m10.txt;52.8;27.395;20535.6
GKD-b_22_n100_m10.txt;52.0;22.737;20203.6
GKD-b_23_n100_m10.txt;49.4;27.124;19447.4
GKD-b_24_n100_m10.txt;47.0;28.748;18199.6
GKD-b_25_n100_m10.txt;47.2;25.828;17711.4
GKD-b_26_n100_m30.txt;318.6;244.084;66582.0
GKD-b_27_n100_m30.txt;316.2;227.734;65515.6
GKD-b_28_n100_m30.txt;322.2;187.535;65914.4
GKD-b_29_n100_m30.txt;295.8;200.861;60482.4
GKD-b_30_n100_m30.txt;322.4;213.276;65241.8
GKD-b_31_n125_m12.txt;122.8;21.048;43786.0
GKD-b_32_n125_m12.txt;83.6;29.652;31687.8
GKD-b_33_n125_m12.txt;85.2;32.076;31635.2
GKD-b_34_n125_m12.txt;83.2;38.9;30183.6
GKD-b_35_n125_m12.txt;91.6;35.013;32812.4
GKD-b_36_n125_m37.txt;550.2;245.599;87012.8
GKD-b_37_n125_m37.txt;564.6;319.47;85140.8
GKD-b_38_n125_m37.txt;539.2;305.171;84599.0
GKD-b_39_n125_m37.txt;544.0;275.888;86619.2
GKD-b_40_n125_m37.txt;518.6;261.861;86467.4
GKD-b_41_n150_m15.txt;157.2;43.78;50968.4
GKD-b_42_n150_m15.txt;168.0;43.664;53968.2
GKD-b_43_n150_m15.txt;157.8;54.557;48739.0
GKD-b_44_n150_m15.txt;158.6;46.748;50848.2
GKD-b_45_n150_m15.txt;157.8;41.317;51566.4
GKD-b_46_n150_m45.txt;841.2;378.514;96636.6
GKD-b_47_n150_m45.txt;854.2;365.563;97978.6
GKD-b_48_n150_m45.txt;841.8;391.579;96074.6
GKD-b_49_n150_m45.txt;808.6;415.667;96773.0
GKD-b_50_n150_m45.txt;866.0;395.541;97729.8
