Fichero;Tiempo;Resultado;Evaluaciones
GKD-b_1_n25_m2.txt;0.0;0.0;414.0
GKD-b_2_n25_m2.txt;0.0;0.0;414.0
GKD-b_3_n25_m2.txt;0.0;0.0;414.0
GKD-b_4_n25_m2.txt;0.0;0.0;414.0
GKD-b_5_n25_m2.txt;0.0;0.0;414.0
GKD-b_6_n25_m7.txt;4.6;22.707;2345.6
GKD-b_7_n25_m7.txt;5.0;20.409;2397.6
GKD-b_8_n25_m7.txt;4.6;23.616;2426.8
GKD-b_9_n25_m7.txt;5.2;23.982;2627.4
GKD-b_10_n25_m7.txt;4.4;28.381;2125.2
GKD-b_11_n50_m5.txt;7.0;7.291;3859.0
GKD-b_12_n50_m5.txt;6.4;8.455;3722.0
GKD-b_13_n50_m5.txt;7.4;8.038;4025.2
GKD-b_14_n50_m5.txt;6.4;7.358;3701.6
GKD-b_15_n50_m5.txt;6.4;7.344;3380.0
GKD-b_16_n50_m15.txt;32.4;68.402;12104.0
GKD-b_17_n50_m15.txt;43.4;55.903;15676.4
GKD-b_18_n50_m15.txt;30.2;63.661;10687.6
GKD-b_19_n50_m15.txt;32.4;68.819;12888.6
GKD-b_20_n50_m15.txt;30.2;61.389;11033.2
GKD-b_21_n100_m10.txt;41.8;23.829;17808.0
GKD-b_22_n100_m10.txt;34.4;25.783;16028.2
GKD-b_23_n100_m10.txt;37.2;26.812;17010.2
GKD-b_24_n100_m10.txt;36.4;26.339;16102.8
GKD-b_25_n100_m10.txt;41.8;25.574;17731.6
GKD-b_26_n100_m30.txt;251.8;225.99;58325.2
GKD-b_27_n100_m30.txt;215.6;208.667;52697.4
GKD-b_28_n100_m30.txt;258.6;214.419;61409.0
GKD-b_29_n100_m30.txt;276.2;223.768;53221.2
GKD-b_30_n100_m30.txt;279.8;231.408;58270.0
GKD-b_31_n125_m12.txt;103.2;23.589;33632.8
GKD-b_32_n125_m12.txt;74.4;33.879;27134.4
GKD-b_33_n125_m12.txt;76.6;31.983;29965.6
GKD-b_34_n125_m12.txt;72.2;35.466;28476.8
GKD-b_35_n125_m12.txt;82.2;31.449;28110.4
GKD-b_36_n125_m37.txt;411.4;283.499;71962.8
GKD-b_37_n125_m37.txt;442.4;322.142;75943.4
GKD-b_38_n125_m37.txt;415.6;318.16;74503.8
GKD-b_39_n125_m37.txt;427.0;273.339;79276.6
GKD-b_40_n125_m37.txt;426.0;322.636;78024.0
GKD-b_41_n150_m15.txt;125.6;45.0;40710.8
GKD-b_42_n150_m15.txt;140.4;45.651;48818.6
GKD-b_43_n150_m15.txt;142.0;51.515;47273.8
GKD-b_44_n150_m15.txt;124.8;44.957;44657.0
GKD-b_45_n150_m15.txt;129.8;42.171;46302.8
GKD-b_46_n150_m45.txt;609.0;411.902;85534.6
GKD-b_47_n150_m45.txt;640.8;367.296;87608.8
GKD-b_48_n150_m45.txt;619.8;386.511;84999.6
GKD-b_49_n150_m45.txt;624.0;411.992;82622.8
GKD-b_50_n150_m45.txt;614.8;444.499;85616.8
