Fichero;Tiempo;Resultado
GKD-b_1_n25_m2.txt;54.0;0.0
GKD-b_1_n25_m2.txt;54.0;0.0
GKD-b_1_n25_m2.txt;57.0;0.0
GKD-b_1_n25_m2.txt;55.0;0.0
GKD-b_1_n25_m2.txt;55.0;0.0
GKD-b_2_n25_m2.txt;56.0;0.0
GKD-b_2_n25_m2.txt;55.0;0.0
GKD-b_2_n25_m2.txt;55.0;0.0
GKD-b_2_n25_m2.txt;55.0;0.0
GKD-b_2_n25_m2.txt;54.0;0.0
GKD-b_3_n25_m2.txt;54.0;0.0
GKD-b_3_n25_m2.txt;55.0;0.0
GKD-b_3_n25_m2.txt;55.0;0.0
GKD-b_3_n25_m2.txt;56.0;0.0
GKD-b_3_n25_m2.txt;55.0;0.0
GKD-b_4_n25_m2.txt;54.0;0.0
GKD-b_4_n25_m2.txt;55.0;0.0
GKD-b_4_n25_m2.txt;55.0;0.0
GKD-b_4_n25_m2.txt;60.0;0.0
GKD-b_4_n25_m2.txt;55.0;0.0
GKD-b_5_n25_m2.txt;55.0;0.0
GKD-b_5_n25_m2.txt;56.0;0.0
GKD-b_5_n25_m2.txt;55.0;0.0
GKD-b_5_n25_m2.txt;56.0;0.0
GKD-b_5_n25_m2.txt;55.0;0.0
GKD-b_6_n25_m7.txt;41.0;20.044
GKD-b_6_n25_m7.txt;40.0;52.3677
GKD-b_6_n25_m7.txt;38.0;43.3128
GKD-b_6_n25_m7.txt;39.0;34.2707
GKD-b_6_n25_m7.txt;39.0;34.6168
GKD-b_7_n25_m7.txt;39.0;22.5656
GKD-b_7_n25_m7.txt;38.0;18.7078
GKD-b_7_n25_m7.txt;39.0;18.0633
GKD-b_7_n25_m7.txt;40.0;25.6926
GKD-b_7_n25_m7.txt;42.0;20.33
GKD-b_8_n25_m7.txt;38.0;44.4571
GKD-b_8_n25_m7.txt;41.0;33.6906
GKD-b_8_n25_m7.txt;39.0;33.6906
GKD-b_8_n25_m7.txt;42.0;27.2716
GKD-b_8_n25_m7.txt;39.0;29.9996
GKD-b_9_n25_m7.txt;38.0;25.654
GKD-b_9_n25_m7.txt;38.0;33.3799
GKD-b_9_n25_m7.txt;38.0;17.0692
GKD-b_9_n25_m7.txt;39.0;46.0478
GKD-b_9_n25_m7.txt;38.0;36.4972
GKD-b_10_n25_m7.txt;39.0;26.7197
GKD-b_10_n25_m7.txt;38.0;39.1127
GKD-b_10_n25_m7.txt;41.0;26.2379
GKD-b_10_n25_m7.txt;38.0;47.3995
GKD-b_10_n25_m7.txt;38.0;36.967
GKD-b_11_n50_m5.txt;38.0;23.5856
GKD-b_11_n50_m5.txt;39.0;13.3013
GKD-b_11_n50_m5.txt;39.0;12.3906
GKD-b_11_n50_m5.txt;38.0;10.0121
GKD-b_11_n50_m5.txt;39.0;14.0103
GKD-b_12_n50_m5.txt;38.0;26.0521
GKD-b_12_n50_m5.txt;39.0;10.4052
GKD-b_12_n50_m5.txt;39.0;12.4069
GKD-b_12_n50_m5.txt;39.0;11.7833
GKD-b_12_n50_m5.txt;38.0;7.63617
GKD-b_13_n50_m5.txt;38.0;14.8536
GKD-b_13_n50_m5.txt;38.0;8.66412
GKD-b_13_n50_m5.txt;39.0;20.2376
GKD-b_13_n50_m5.txt;38.0;17.9426
GKD-b_13_n50_m5.txt;38.0;14.3807
GKD-b_14_n50_m5.txt;38.0;17.4509
GKD-b_14_n50_m5.txt;39.0;15.94
GKD-b_14_n50_m5.txt;39.0;11.4069
GKD-b_14_n50_m5.txt;39.0;12.9105
GKD-b_14_n50_m5.txt;39.0;4.32266
GKD-b_15_n50_m5.txt;39.0;11.7453
GKD-b_15_n50_m5.txt;39.0;16.7115
GKD-b_15_n50_m5.txt;41.0;14.7778
GKD-b_15_n50_m5.txt;39.0;11.3505
GKD-b_15_n50_m5.txt;39.0;15.3397
