Fichero;Tiempo;Resultado
GKD-b_1_n25_m2.txt;32.0;0.0
GKD-b_1_n25_m2.txt;33.0;0.0
GKD-b_1_n25_m2.txt;31.0;0.0
GKD-b_1_n25_m2.txt;32.0;0.0
GKD-b_1_n25_m2.txt;31.0;0.0
GKD-b_2_n25_m2.txt;32.0;0.0
GKD-b_2_n25_m2.txt;32.0;0.0
GKD-b_2_n25_m2.txt;31.0;0.0
GKD-b_2_n25_m2.txt;32.0;0.0
GKD-b_2_n25_m2.txt;31.0;0.0
GKD-b_3_n25_m2.txt;31.0;0.0
GKD-b_3_n25_m2.txt;32.0;0.0
GKD-b_3_n25_m2.txt;31.0;0.0
GKD-b_3_n25_m2.txt;31.0;0.0
GKD-b_3_n25_m2.txt;31.0;0.0
GKD-b_4_n25_m2.txt;31.0;0.0
GKD-b_4_n25_m2.txt;31.0;0.0
GKD-b_4_n25_m2.txt;31.0;0.0
GKD-b_4_n25_m2.txt;31.0;0.0
GKD-b_4_n25_m2.txt;32.0;0.0
GKD-b_5_n25_m2.txt;32.0;0.0
GKD-b_5_n25_m2.txt;31.0;0.0
GKD-b_5_n25_m2.txt;32.0;0.0
GKD-b_5_n25_m2.txt;31.0;0.0
GKD-b_5_n25_m2.txt;31.0;0.0
GKD-b_6_n25_m7.txt;38.0;15.2853
GKD-b_6_n25_m7.txt;35.0;15.2853
GKD-b_6_n25_m7.txt;35.0;27.352
GKD-b_6_n25_m7.txt;35.0;13.4792
GKD-b_6_n25_m7.txt;35.0;13.4793
GKD-b_7_n25_m7.txt;35.0;19.6141
GKD-b_7_n25_m7.txt;36.0;19.0248
GKD-b_7_n25_m7.txt;43.0;18.7078
GKD-b_7_n25_m7.txt;35.0;14.0986
GKD-b_7_n25_m7.txt;35.0;27.1899
GKD-b_8_n25_m7.txt;35.0;16.7611
GKD-b_8_n25_m7.txt;35.0;33.9863
GKD-b_8_n25_m7.txt;35.0;20.9588
GKD-b_8_n25_m7.txt;36.0;20.9588
GKD-b_8_n25_m7.txt;37.0;31.4332
GKD-b_9_n25_m7.txt;37.0;19.9911
GKD-b_9_n25_m7.txt;35.0;19.9911
GKD-b_9_n25_m7.txt;36.0;17.0692
GKD-b_9_n25_m7.txt;35.0;25.5399
GKD-b_9_n25_m7.txt;36.0;28.5002
GKD-b_10_n25_m7.txt;38.0;30.2731
GKD-b_10_n25_m7.txt;36.0;30.2731
GKD-b_10_n25_m7.txt;35.0;36.4858
GKD-b_10_n25_m7.txt;35.0;26.2379
GKD-b_10_n25_m7.txt;35.0;28.251
GKD-b_11_n50_m5.txt;33.0;4.70654
GKD-b_11_n50_m5.txt;35.0;5.68311
GKD-b_11_n50_m5.txt;33.0;5.09058
GKD-b_11_n50_m5.txt;35.0;8.33075
GKD-b_11_n50_m5.txt;35.0;9.49994
GKD-b_12_n50_m5.txt;39.0;6.05939
GKD-b_12_n50_m5.txt;33.0;9.02905
