Fichero;Tiempo;Resultado
GKD-b_1_n25_m2.txt;43.0;0.0
GKD-b_1_n25_m2.txt;43.0;0.0
GKD-b_1_n25_m2.txt;43.0;0.0
GKD-b_1_n25_m2.txt;43.0;0.0
GKD-b_1_n25_m2.txt;46.0;0.0
GKD-b_2_n25_m2.txt;43.0;0.0
GKD-b_2_n25_m2.txt;43.0;0.0
GKD-b_2_n25_m2.txt;43.0;0.0
GKD-b_2_n25_m2.txt;43.0;0.0
GKD-b_2_n25_m2.txt;43.0;0.0
GKD-b_3_n25_m2.txt;43.0;0.0
GKD-b_3_n25_m2.txt;44.0;0.0
GKD-b_3_n25_m2.txt;44.0;0.0
GKD-b_3_n25_m2.txt;44.0;0.0
GKD-b_3_n25_m2.txt;48.0;0.0
GKD-b_4_n25_m2.txt;43.0;0.0
GKD-b_4_n25_m2.txt;43.0;0.0
GKD-b_4_n25_m2.txt;44.0;0.0
GKD-b_4_n25_m2.txt;43.0;0.0
GKD-b_4_n25_m2.txt;43.0;0.0
GKD-b_5_n25_m2.txt;43.0;0.0
GKD-b_5_n25_m2.txt;43.0;0.0
GKD-b_5_n25_m2.txt;43.0;0.0
GKD-b_5_n25_m2.txt;44.0;0.0
GKD-b_5_n25_m2.txt;43.0;0.0
GKD-b_6_n25_m7.txt;57.0;13.4792
GKD-b_6_n25_m7.txt;57.0;13.4793
GKD-b_6_n25_m7.txt;56.0;13.4792
GKD-b_6_n25_m7.txt;55.0;13.4792
GKD-b_6_n25_m7.txt;54.0;13.4792
GKD-b_7_n25_m7.txt;47.0;18.0632
GKD-b_7_n25_m7.txt;62.0;14.0986
GKD-b_7_n25_m7.txt;61.0;14.0986
GKD-b_7_n25_m7.txt;44.0;18.0632
GKD-b_7_n25_m7.txt;46.0;19.4777
GKD-b_8_n25_m7.txt;46.0;26.1801
GKD-b_8_n25_m7.txt;57.0;16.7612
GKD-b_8_n25_m7.txt;56.0;20.9588
GKD-b_8_n25_m7.txt;55.0;20.9588
GKD-b_8_n25_m7.txt;57.0;20.9588
GKD-b_9_n25_m7.txt;51.0;17.0692
GKD-b_9_n25_m7.txt;51.0;17.0692
GKD-b_9_n25_m7.txt;47.0;17.0692
GKD-b_9_n25_m7.txt;57.0;25.5399
GKD-b_9_n25_m7.txt;51.0;17.0692
GKD-b_10_n25_m7.txt;55.0;26.2379
GKD-b_10_n25_m7.txt;57.0;26.2379
GKD-b_10_n25_m7.txt;55.0;26.2379
GKD-b_10_n25_m7.txt;57.0;26.2379
GKD-b_10_n25_m7.txt;56.0;26.2379
GKD-b_11_n50_m5.txt;41.0;4.06232
GKD-b_11_n50_m5.txt;41.0;7.86383
GKD-b_11_n50_m5.txt;40.0;10.9191
GKD-b_11_n50_m5.txt;41.0;4.84259
GKD-b_11_n50_m5.txt;41.0;6.22205
GKD-b_12_n50_m5.txt;41.0;5.39001
GKD-b_12_n50_m5.txt;43.0;5.45374
GKD-b_12_n50_m5.txt;39.0;9.02905
GKD-b_12_n50_m5.txt;40.0;6.47437
GKD-b_12_n50_m5.txt;42.0;8.00366
GKD-b_13_n50_m5.txt;40.0;8.2132
GKD-b_13_n50_m5.txt;38.0;10.4545
GKD-b_13_n50_m5.txt;42.0;9.7637
GKD-b_13_n50_m5.txt;42.0;4.32706
GKD-b_13_n50_m5.txt;44.0;7.759
GKD-b_14_n50_m5.txt;43.0;7.47156
GKD-b_14_n50_m5.txt;41.0;6.6871
GKD-b_14_n50_m5.txt;40.0;7.23065
GKD-b_14_n50_m5.txt;38.0;6.76105
GKD-b_14_n50_m5.txt;39.0;6.76105
GKD-b_15_n50_m5.txt;40.0;4.98145
GKD-b_15_n50_m5.txt;41.0;4.98145
GKD-b_15_n50_m5.txt;42.0;3.22009
GKD-b_15_n50_m5.txt;39.0;5.104
