Fichero;Tiempo;Resultado
GKD-b_1_n25_m2.txt;16.0;0.0
GKD-b_1_n25_m2.txt;15.0;0.0
GKD-b_1_n25_m2.txt;16.0;0.0
GKD-b_1_n25_m2.txt;15.0;0.0
GKD-b_1_n25_m2.txt;23.0;0.0
GKD-b_2_n25_m2.txt;18.0;0.0
GKD-b_2_n25_m2.txt;16.0;0.0
GKD-b_2_n25_m2.txt;15.0;0.0
GKD-b_2_n25_m2.txt;16.0;0.0
GKD-b_2_n25_m2.txt;16.0;0.0
GKD-b_3_n25_m2.txt;18.0;0.0
GKD-b_3_n25_m2.txt;23.0;0.0
GKD-b_3_n25_m2.txt;16.0;0.0
GKD-b_3_n25_m2.txt;16.0;0.0
GKD-b_3_n25_m2.txt;15.0;0.0
GKD-b_4_n25_m2.txt;15.0;0.0
GKD-b_4_n25_m2.txt;16.0;0.0
GKD-b_4_n25_m2.txt;20.0;0.0
GKD-b_4_n25_m2.txt;27.0;0.0
GKD-b_4_n25_m2.txt;19.0;0.0
GKD-b_5_n25_m2.txt;15.0;0.0
GKD-b_5_n25_m2.txt;16.0;0.0
GKD-b_5_n25_m2.txt;23.0;0.0
GKD-b_5_n25_m2.txt;20.0;0.0
GKD-b_5_n25_m2.txt;23.0;0.0
GKD-b_6_n25_m7.txt;22.0;12.718
GKD-b_6_n25_m7.txt;19.0;12.718
GKD-b_6_n25_m7.txt;20.0;12.718
GKD-b_6_n25_m7.txt;18.0;13.4793
GKD-b_6_n25_m7.txt;19.0;13.4792
GKD-b_7_n25_m7.txt;24.0;14.0986
GKD-b_7_n25_m7.txt;20.0;14.0986
GKD-b_7_n25_m7.txt;19.0;14.0986
GKD-b_7_n25_m7.txt;19.0;14.0986
GKD-b_7_n25_m7.txt;19.0;14.0986
GKD-b_8_n25_m7.txt;18.0;16.7612
GKD-b_8_n25_m7.txt;18.0;16.7612
GKD-b_8_n25_m7.txt;18.0;16.7612
GKD-b_8_n25_m7.txt;18.0;16.7612
GKD-b_8_n25_m7.txt;18.0;16.7612
GKD-b_9_n25_m7.txt;18.0;17.0692
GKD-b_9_n25_m7.txt;18.0;17.0692
GKD-b_9_n25_m7.txt;18.0;17.0692
GKD-b_9_n25_m7.txt;19.0;17.0692
GKD-b_9_n25_m7.txt;19.0;17.0692
GKD-b_10_n25_m7.txt;23.0;23.2651
GKD-b_10_n25_m7.txt;20.0;23.2652
GKD-b_10_n25_m7.txt;19.0;23.2652
GKD-b_10_n25_m7.txt;19.0;23.2651
GKD-b_10_n25_m7.txt;19.0;26.2379
GKD-b_11_n50_m5.txt;17.0;3.67401
GKD-b_11_n50_m5.txt;17.0;1.92609
GKD-b_11_n50_m5.txt;17.0;3.67407
GKD-b_11_n50_m5.txt;18.0;1.92609
GKD-b_11_n50_m5.txt;18.0;3.56152
GKD-b_12_n50_m5.txt;18.0;2.05127
GKD-b_12_n50_m5.txt;17.0;2.05127
GKD-b_12_n50_m5.txt;17.0;2.91382
GKD-b_12_n50_m5.txt;18.0;2.05127
GKD-b_12_n50_m5.txt;18.0;5.39001
GKD-b_13_n50_m5.txt;17.0;4.58102
GKD-b_13_n50_m5.txt;17.0;3.46381
GKD-b_13_n50_m5.txt;18.0;5.13861
GKD-b_13_n50_m5.txt;18.0;3.46384
GKD-b_13_n50_m5.txt;17.0;3.92084
GKD-b_14_n50_m5.txt;18.0;3.18564
GKD-b_14_n50_m5.txt;17.0;3.79034
GKD-b_14_n50_m5.txt;17.0;2.92218
GKD-b_14_n50_m5.txt;27.0;3.79578
GKD-b_14_n50_m5.txt;17.0;3.18564
GKD-b_15_n50_m5.txt;17.0;3.39441
GKD-b_15_n50_m5.txt;17.0;2.94379
GKD-b_15_n50_m5.txt;17.0;3.6767
GKD-b_15_n50_m5.txt;17.0;4.39191
GKD-b_15_n50_m5.txt;17.0;3.22009
GKD-b_16_n50_m15.txt;38.0;62.4365
GKD-b_16_n50_m15.txt;38.0;72.1061
GKD-b_16_n50_m15.txt;45.0;66.4147
GKD-b_16_n50_m15.txt;40.0;42.7458
GKD-b_16_n50_m15.txt;36.0;45.26
GKD-b_17_n50_m15.txt;41.0;48.1076
GKD-b_17_n50_m15.txt;40.0;48.1076
GKD-b_17_n50_m15.txt;40.0;48.1074
GKD-b_17_n50_m15.txt;44.0;56.6747
GKD-b_17_n50_m15.txt;39.0;60.2144
GKD-b_18_n50_m15.txt;36.0;56.7251
GKD-b_18_n50_m15.txt;38.0;59.9077
GKD-b_18_n50_m15.txt;37.0;48.0939
GKD-b_18_n50_m15.txt;37.0;54.7947
GKD-b_18_n50_m15.txt;36.0;48.0939
GKD-b_19_n50_m15.txt;38.0;66.9929
GKD-b_19_n50_m15.txt;38.0;47.1875
GKD-b_19_n50_m15.txt;37.0;54.0787
GKD-b_19_n50_m15.txt;38.0;56.3115
GKD-b_19_n50_m15.txt;38.0;67.0695
GKD-b_20_n50_m15.txt;38.0;63.244
GKD-b_20_n50_m15.txt;37.0;59.5466
GKD-b_20_n50_m15.txt;38.0;69.2428
GKD-b_20_n50_m15.txt;39.0;64.4554
GKD-b_20_n50_m15.txt;38.0;60.1512
GKD-b_21_n100_m10.txt;43.0;22.6287
GKD-b_21_n100_m10.txt;44.0;18.0106
GKD-b_21_n100_m10.txt;44.0;30.216
GKD-b_21_n100_m10.txt;44.0;19.5208
GKD-b_21_n100_m10.txt;43.0;22.5421
GKD-b_22_n100_m10.txt;41.0;21.3708
GKD-b_22_n100_m10.txt;44.0;20.7643
GKD-b_22_n100_m10.txt;43.0;22.3636
GKD-b_22_n100_m10.txt;51.0;24.8063
GKD-b_22_n100_m10.txt;40.0;26.8651
GKD-b_23_n100_m10.txt;42.0;24.4464
GKD-b_23_n100_m10.txt;42.0;25.5909
GKD-b_23_n100_m10.txt;44.0;21.5322
GKD-b_23_n100_m10.txt;44.0;26.0656
GKD-b_23_n100_m10.txt;44.0;24.8657
GKD-b_24_n100_m10.txt;43.0;16.6865
GKD-b_24_n100_m10.txt;40.0;13.9835
GKD-b_24_n100_m10.txt;44.0;27.6182
GKD-b_24_n100_m10.txt;40.0;23.4089
GKD-b_24_n100_m10.txt;41.0;16.8531
GKD-b_25_n100_m10.txt;44.0;19.9657
GKD-b_25_n100_m10.txt;43.0;22.7305
GKD-b_25_n100_m10.txt;42.0;24.6949
GKD-b_25_n100_m10.txt;42.0;24.0856
GKD-b_25_n100_m10.txt;41.0;22.2211
GKD-b_26_n100_m30.txt;148.0;249.666
GKD-b_26_n100_m30.txt;147.0;230.315
GKD-b_26_n100_m30.txt;145.0;251.505
GKD-b_26_n100_m30.txt;153.0;237.39
GKD-b_26_n100_m30.txt;141.0;227.283
GKD-b_27_n100_m30.txt;133.0;230.091
GKD-b_27_n100_m30.txt;136.0;194.777
GKD-b_27_n100_m30.txt;136.0;240.871
GKD-b_27_n100_m30.txt;154.0;234.741
GKD-b_27_n100_m30.txt;140.0;261.771
GKD-b_28_n100_m30.txt;154.0;153.979
GKD-b_28_n100_m30.txt;156.0;153.565
GKD-b_28_n100_m30.txt;155.0;174.276
GKD-b_28_n100_m30.txt;146.0;185.767
GKD-b_28_n100_m30.txt;152.0;217.134
GKD-b_29_n100_m30.txt;139.0;244.656
GKD-b_29_n100_m30.txt;140.0;188.036
GKD-b_29_n100_m30.txt;141.0;227.126
GKD-b_29_n100_m30.txt;144.0;214.644
GKD-b_29_n100_m30.txt;142.0;207.521
GKD-b_30_n100_m30.txt;141.0;245.183
GKD-b_30_n100_m30.txt;152.0;237.545
GKD-b_30_n100_m30.txt;142.0;210.822
GKD-b_30_n100_m30.txt;142.0;212.828
GKD-b_30_n100_m30.txt;156.0;234.109
GKD-b_31_n125_m12.txt;67.0;21.5062
GKD-b_31_n125_m12.txt;74.0;31.1495
GKD-b_31_n125_m12.txt;73.0;20.6691
GKD-b_31_n125_m12.txt;76.0;19.7715
GKD-b_31_n125_m12.txt;73.0;31.9411
GKD-b_32_n125_m12.txt;62.0;35.5406
GKD-b_32_n125_m12.txt;61.0;33.5986
GKD-b_32_n125_m12.txt;61.0;37.8669
GKD-b_32_n125_m12.txt;63.0;32.147
GKD-b_32_n125_m12.txt;59.0;36.3893
GKD-b_33_n125_m12.txt;63.0;32.2445
GKD-b_33_n125_m12.txt;59.0;32.9573
GKD-b_33_n125_m12.txt;63.0;35.7669
GKD-b_33_n125_m12.txt;57.0;30.5297
GKD-b_33_n125_m12.txt;61.0;32.3274
GKD-b_34_n125_m12.txt;62.0;35.744
GKD-b_34_n125_m12.txt;59.0;35.8324
GKD-b_34_n125_m12.txt;62.0;27.28
GKD-b_34_n125_m12.txt;60.0;37.834
GKD-b_34_n125_m12.txt;60.0;39.5359
GKD-b_35_n125_m12.txt;59.0;26.7495
GKD-b_35_n125_m12.txt;61.0;29.778
GKD-b_35_n125_m12.txt;63.0;30.6918
GKD-b_35_n125_m12.txt;58.0;25.9813
GKD-b_35_n125_m12.txt;63.0;17.812
GKD-b_36_n125_m37.txt;247.0;307.688
GKD-b_36_n125_m37.txt;246.0;280.014
GKD-b_36_n125_m37.txt;254.0;303.763
GKD-b_36_n125_m37.txt;246.0;287.451
GKD-b_36_n125_m37.txt;243.0;301.57
GKD-b_37_n125_m37.txt;266.0;365.188
GKD-b_37_n125_m37.txt;258.0;414.158
GKD-b_37_n125_m37.txt;256.0;376.371
GKD-b_37_n125_m37.txt;258.0;301.401
GKD-b_37_n125_m37.txt;261.0;394.506
GKD-b_38_n125_m37.txt;239.0;339.906
GKD-b_38_n125_m37.txt;245.0;344.597
GKD-b_38_n125_m37.txt;238.0;405.837
GKD-b_38_n125_m37.txt;286.0;340.419
GKD-b_38_n125_m37.txt;235.0;399.298
GKD-b_39_n125_m37.txt;245.0;338.984
GKD-b_39_n125_m37.txt;233.0;287.485
GKD-b_39_n125_m37.txt;230.0;271.653
GKD-b_39_n125_m37.txt;222.0;314.77
GKD-b_39_n125_m37.txt;237.0;249.709
GKD-b_40_n125_m37.txt;233.0;366.963
GKD-b_40_n125_m37.txt;237.0;352.605
GKD-b_40_n125_m37.txt;229.0;329.131
GKD-b_40_n125_m37.txt;232.0;333.164
GKD-b_40_n125_m37.txt;237.0;374.034
GKD-b_41_n150_m15.txt;88.0;42.156
GKD-b_41_n150_m15.txt;90.0;50.6565
GKD-b_41_n150_m15.txt;93.0;45.0957
GKD-b_41_n150_m15.txt;95.0;41.7834
GKD-b_41_n150_m15.txt;90.0;37.4661
GKD-b_42_n150_m15.txt;90.0;52.8691
GKD-b_42_n150_m15.txt;99.0;57.2167
GKD-b_42_n150_m15.txt;91.0;63.8624
GKD-b_42_n150_m15.txt;95.0;50.9392
GKD-b_42_n150_m15.txt;95.0;42.4052
GKD-b_43_n150_m15.txt;87.0;52.1387
GKD-b_43_n150_m15.txt;86.0;56.972
GKD-b_43_n150_m15.txt;92.0;44.2786
GKD-b_43_n150_m15.txt;87.0;52.6243
GKD-b_43_n150_m15.txt;90.0;50.3881
GKD-b_44_n150_m15.txt;91.0;51.9493
GKD-b_44_n150_m15.txt;87.0;36.0109
GKD-b_44_n150_m15.txt;88.0;46.1404
GKD-b_44_n150_m15.txt;86.0;31.8951
GKD-b_44_n150_m15.txt;88.0;45.7335
GKD-b_45_n150_m15.txt;88.0;51.0494
GKD-b_45_n150_m15.txt;87.0;40.9795
GKD-b_45_n150_m15.txt;90.0;43.4738
GKD-b_45_n150_m15.txt;89.0;52.819
GKD-b_45_n150_m15.txt;85.0;52.6835
GKD-b_46_n150_m45.txt;397.0;425.182
GKD-b_46_n150_m45.txt;390.0;420.137
GKD-b_46_n150_m45.txt;381.0;503.769
GKD-b_46_n150_m45.txt;393.0;466.972
GKD-b_46_n150_m45.txt;393.0;440.382
GKD-b_47_n150_m45.txt;386.0;463.996
GKD-b_47_n150_m45.txt;386.0;425.786
GKD-b_47_n150_m45.txt;373.0;445.059
GKD-b_47_n150_m45.txt;394.0;407.189
GKD-b_47_n150_m45.txt;377.0;399.283
GKD-b_48_n150_m45.txt;374.0;374.729
