Fichero;Tiempo;Resultado
GKD-b_1_n25_m2.txt;39.6;0.0
GKD-b_2_n25_m2.txt;39.4;0.0
GKD-b_3_n25_m2.txt;39.6;0.0
GKD-b_4_n25_m2.txt;39.4;0.0
GKD-b_5_n25_m2.txt;39.2;0.0
GKD-b_6_n25_m7.txt;37.0;39.069
GKD-b_7_n25_m7.txt;37.2;35.232
GKD-b_8_n25_m7.txt;37.0;38.443
GKD-b_9_n25_m7.txt;37.2;38.151
GKD-b_10_n25_m7.txt;37.6;44.608
GKD-b_11_n50_m5.txt;37.4;21.034
GKD-b_12_n50_m5.txt;37.6;18.335
GKD-b_13_n50_m5.txt;37.8;21.949
GKD-b_14_n50_m5.txt;37.2;15.694
GKD-b_15_n50_m5.txt;37.6;16.623
GKD-b_16_n50_m15.txt;67.4;169.439
GKD-b_17_n50_m15.txt;67.6;137.163
GKD-b_18_n50_m15.txt;67.6;117.664
GKD-b_19_n50_m15.txt;67.4;129.495
GKD-b_20_n50_m15.txt;67.2;146.729
GKD-b_21_n100_m10.txt;53.4;66.767
GKD-b_22_n100_m10.txt;53.2;63.08
GKD-b_23_n100_m10.txt;53.4;57.823
GKD-b_24_n100_m10.txt;52.8;53.212
GKD-b_25_n100_m10.txt;53.6;57.166
GKD-b_26_n100_m30.txt;213.2;455.824
GKD-b_27_n100_m30.txt;213.4;431.359
GKD-b_28_n100_m30.txt;212.6;477.958
GKD-b_29_n100_m30.txt;215.0;430.388
GKD-b_30_n100_m30.txt;213.4;467.836
GKD-b_31_n125_m12.txt;61.8;103.45
GKD-b_32_n125_m12.txt;61.8;80.674
GKD-b_33_n125_m12.txt;62.2;90.44
GKD-b_34_n125_m12.txt;61.4;90.225
GKD-b_35_n125_m12.txt;61.4;87.458
GKD-b_36_n125_m37.txt;325.8;505.443
GKD-b_37_n125_m37.txt;324.6;683.691
GKD-b_38_n125_m37.txt;324.0;646.178
GKD-b_39_n125_m37.txt;324.4;577.029
GKD-b_40_n125_m37.txt;324.4;563.423
GKD-b_41_n150_m15.txt;77.0;101.366
GKD-b_42_n150_m15.txt;76.4;118.554
GKD-b_43_n150_m15.txt;76.8;140.965
GKD-b_44_n150_m15.txt;76.4;109.62
GKD-b_45_n150_m15.txt;76.8;125.71
GKD-b_46_n150_m45.txt;524.4;771.056
GKD-b_47_n150_m45.txt;526.0;759.353
GKD-b_48_n150_m45.txt;523.2;729.073
GKD-b_49_n150_m45.txt;523.8;864.315
GKD-b_50_n150_m45.txt;525.2;794.858
