Fichero;Tiempo;Resultado
GKD-b_1_n25_m2.txt;55.0;0.0
GKD-b_2_n25_m2.txt;55.0;0.0
GKD-b_3_n25_m2.txt;55.0;0.0
GKD-b_4_n25_m2.txt;55.8;0.0
GKD-b_5_n25_m2.txt;55.4;0.0
GKD-b_6_n25_m7.txt;39.4;36.922
GKD-b_7_n25_m7.txt;39.6;21.072
GKD-b_8_n25_m7.txt;39.8;33.822
GKD-b_9_n25_m7.txt;38.2;31.73
GKD-b_10_n25_m7.txt;38.8;35.287
GKD-b_11_n50_m5.txt;38.6;14.66
GKD-b_12_n50_m5.txt;38.6;13.657
GKD-b_13_n50_m5.txt;38.2;15.216
GKD-b_14_n50_m5.txt;38.8;12.406
GKD-b_15_n50_m5.txt;39.4;13.985
GKD-b_16_n50_m15.txt;69.8;128.336
GKD-b_17_n50_m15.txt;70.4;97.8
GKD-b_18_n50_m15.txt;70.0;112.671
GKD-b_19_n50_m15.txt;70.4;104.298
GKD-b_20_n50_m15.txt;70.4;106.262
GKD-b_21_n100_m10.txt;57.2;56.432
GKD-b_22_n100_m10.txt;56.6;45.286
GKD-b_23_n100_m10.txt;56.6;60.908
GKD-b_24_n100_m10.txt;56.2;46.071
GKD-b_25_n100_m10.txt;56.4;58.145
GKD-b_26_n100_m30.txt;215.8;332.204
GKD-b_27_n100_m30.txt;216.2;349.528
GKD-b_28_n100_m30.txt;218.8;217.774
GKD-b_29_n100_m30.txt;218.2;277.357
GKD-b_30_n100_m30.txt;219.2;287.384
GKD-b_31_n125_m12.txt;64.4;76.443
GKD-b_32_n125_m12.txt;65.2;60.338
GKD-b_33_n125_m12.txt;64.6;60.971
GKD-b_34_n125_m12.txt;65.0;64.896
GKD-b_35_n125_m12.txt;66.0;67.661
GKD-b_36_n125_m37.txt;329.8;439.955
GKD-b_37_n125_m37.txt;330.6;496.002
GKD-b_38_n125_m37.txt;329.8;407.062
GKD-b_39_n125_m37.txt;331.6;356.445
GKD-b_40_n125_m37.txt;330.6;386.832
GKD-b_41_n150_m15.txt;81.4;74.181
GKD-b_42_n150_m15.txt;80.8;74.091
GKD-b_43_n150_m15.txt;80.2;94.986
GKD-b_44_n150_m15.txt;80.0;64.675
GKD-b_45_n150_m15.txt;80.2;75.411
GKD-b_46_n150_m45.txt;529.2;535.349
GKD-b_47_n150_m45.txt;530.0;539.058
GKD-b_48_n150_m45.txt;528.2;484.41
GKD-b_49_n150_m45.txt;530.2;502.689
GKD-b_50_n150_m45.txt;529.8;661.462
