Fichero;Tiempo;Resultado
GKD-b_1_n25_m2.txt;31.8;0.0
GKD-b_2_n25_m2.txt;31.6;0.0
GKD-b_3_n25_m2.txt;31.2;0.0
GKD-b_4_n25_m2.txt;31.2;0.0
GKD-b_5_n25_m2.txt;31.4;0.0
GKD-b_6_n25_m7.txt;35.6;16.976
GKD-b_7_n25_m7.txt;36.8;19.727
GKD-b_8_n25_m7.txt;35.6;24.82
GKD-b_9_n25_m7.txt;35.8;22.218
GKD-b_10_n25_m7.txt;35.8;30.304
GKD-b_11_n50_m5.txt;34.2;6.662
GKD-b_12_n50_m5.txt;34.6;7.267
GKD-b_13_n50_m5.txt;33.8;7.534
GKD-b_14_n50_m5.txt;34.0;7.264
GKD-b_15_n50_m5.txt;33.2;7.855
GKD-b_16_n50_m15.txt;88.0;62.736
GKD-b_17_n50_m15.txt;88.6;62.636
GKD-b_18_n50_m15.txt;87.4;63.749
GKD-b_19_n50_m15.txt;88.8;68.413
GKD-b_20_n50_m15.txt;90.4;74.575
GKD-b_21_n100_m10.txt;61.0;23.976
GKD-b_22_n100_m10.txt;59.2;27.443
GKD-b_23_n100_m10.txt;61.0;22.924
GKD-b_24_n100_m10.txt;61.0;25.044
GKD-b_25_n100_m10.txt;60.6;26.577
GKD-b_26_n100_m30.txt;264.2;333.813
GKD-b_27_n100_m30.txt;262.0;250.782
GKD-b_28_n100_m30.txt;264.4;323.255
GKD-b_29_n100_m30.txt;263.4;298.621
GKD-b_30_n100_m30.txt;264.0;281.592
GKD-b_31_n125_m12.txt;74.6;27.578
GKD-b_32_n125_m12.txt;75.0;37.628
GKD-b_33_n125_m12.txt;75.8;36.713
GKD-b_34_n125_m12.txt;75.0;36.52
GKD-b_35_n125_m12.txt;76.6;32.075
GKD-b_36_n125_m37.txt;389.2;361.814
GKD-b_37_n125_m37.txt;388.8;451.925
GKD-b_38_n125_m37.txt;390.4;459.523
GKD-b_39_n125_m37.txt;390.0;425.158
GKD-b_40_n125_m37.txt;390.2;431.692
GKD-b_41_n150_m15.txt;99.0;53.449
GKD-b_42_n150_m15.txt;99.6;60.418
GKD-b_43_n150_m15.txt;99.8;55.088
GKD-b_44_n150_m15.txt;99.0;48.054
GKD-b_45_n150_m15.txt;100.4;54.65
GKD-b_46_n150_m45.txt;609.4;628.115
GKD-b_47_n150_m45.txt;612.4;549.728
GKD-b_48_n150_m45.txt;613.0;534.501
GKD-b_49_n150_m45.txt;612.0;626.965
GKD-b_50_n150_m45.txt;612.4;617.226
