Fichero;Tiempo;Resultado
GKD-b_1_n25_m2.txt;43.6;0.0
GKD-b_2_n25_m2.txt;43.0;0.0
GKD-b_3_n25_m2.txt;44.6;0.0
GKD-b_4_n25_m2.txt;43.2;0.0
GKD-b_5_n25_m2.txt;43.2;0.0
GKD-b_6_n25_m7.txt;55.8;13.479
GKD-b_7_n25_m7.txt;52.0;16.76
GKD-b_8_n25_m7.txt;54.2;21.164
GKD-b_9_n25_m7.txt;51.4;18.763
GKD-b_10_n25_m7.txt;56.0;26.238
GKD-b_11_n50_m5.txt;40.8;6.782
GKD-b_12_n50_m5.txt;41.0;6.87
GKD-b_13_n50_m5.txt;41.2;8.103
GKD-b_14_n50_m5.txt;40.2;6.982
GKD-b_15_n50_m5.txt;40.4;4.681
GKD-b_16_n50_m15.txt;136.8;72.804
GKD-b_17_n50_m15.txt;139.0;58.291
GKD-b_18_n50_m15.txt;139.4;70.847
GKD-b_19_n50_m15.txt;137.0;68.978
GKD-b_20_n50_m15.txt;140.6;72.793
GKD-b_21_n100_m10.txt;119.0;26.194
GKD-b_22_n100_m10.txt;120.6;27.818
GKD-b_23_n100_m10.txt;123.8;29.623
GKD-b_24_n100_m10.txt;119.0;28.604
GKD-b_25_n100_m10.txt;120.6;30.092
GKD-b_26_n100_m30.txt;418.6;282.662
GKD-b_27_n100_m30.txt;419.4;327.512
GKD-b_28_n100_m30.txt;414.2;205.145
GKD-b_29_n100_m30.txt;412.2;249.323
GKD-b_30_n100_m30.txt;414.4;251.287
GKD-b_31_n125_m12.txt;148.2;27.272
GKD-b_32_n125_m12.txt;156.2;42.787
GKD-b_33_n125_m12.txt;151.8;39.939
GKD-b_34_n125_m12.txt;150.8;39.186
GKD-b_35_n125_m12.txt;149.6;33.204
GKD-b_36_n125_m37.txt;614.8;396.644
GKD-b_37_n125_m37.txt;613.2;470.176
GKD-b_38_n125_m37.txt;618.0;369.672
GKD-b_39_n125_m37.txt;613.8;368.332
GKD-b_40_n125_m37.txt;615.8;415.136
GKD-b_41_n150_m15.txt;204.2;55.931
GKD-b_42_n150_m15.txt;198.0;51.077
GKD-b_43_n150_m15.txt;200.8;47.572
GKD-b_44_n150_m15.txt;204.4;59.396
GKD-b_45_n150_m15.txt;200.4;50.971
GKD-b_46_n150_m45.txt;915.8;525.167
GKD-b_47_n150_m45.txt;916.8;546.043
GKD-b_48_n150_m45.txt;919.8;487.53
GKD-b_49_n150_m45.txt;913.6;515.047
GKD-b_50_n150_m45.txt;918.2;585.26
