Fichero;Tiempo;Resultado
GKD-b_1_n25_m2.txt;35.6;0.0
GKD-b_2_n25_m2.txt;33.0;0.0
GKD-b_3_n25_m2.txt;33.0;0.0
GKD-b_4_n25_m2.txt;32.8;0.0
GKD-b_5_n25_m2.txt;33.4;0.0
GKD-b_6_n25_m7.txt;30.0;13.175
GKD-b_7_n25_m7.txt;31.4;14.63
GKD-b_8_n25_m7.txt;29.4;16.761
GKD-b_9_n25_m7.txt;27.4;17.069
GKD-b_10_n25_m7.txt;30.8;23.86
GKD-b_11_n50_m5.txt;23.4;3.597
GKD-b_12_n50_m5.txt;23.2;4.038
GKD-b_13_n50_m5.txt;23.4;3.715
GKD-b_14_n50_m5.txt;23.4;4.344
GKD-b_15_n50_m5.txt;23.8;3.37
GKD-b_16_n50_m15.txt;57.2;54.685
GKD-b_17_n50_m15.txt;59.8;57.282
GKD-b_18_n50_m15.txt;56.6;53.789
GKD-b_19_n50_m15.txt;57.0;60.16
GKD-b_20_n50_m15.txt;56.2;60.129
GKD-b_21_n100_m10.txt;57.4;23.425
GKD-b_22_n100_m10.txt;57.4;27.652
GKD-b_23_n100_m10.txt;57.6;22.938
GKD-b_24_n100_m10.txt;56.8;23.284
GKD-b_25_n100_m10.txt;57.6;23.557
GKD-b_26_n100_m30.txt;195.0;245.797
GKD-b_27_n100_m30.txt;187.4;245.778
GKD-b_28_n100_m30.txt;201.0;184.751
GKD-b_29_n100_m30.txt;191.0;208.133
GKD-b_30_n100_m30.txt;188.8;213.537
GKD-b_31_n125_m12.txt;88.8;26.254
GKD-b_32_n125_m12.txt;78.8;32.187
GKD-b_33_n125_m12.txt;80.2;30.659
GKD-b_34_n125_m12.txt;77.4;32.229
GKD-b_35_n125_m12.txt;77.8;33.021
GKD-b_36_n125_m37.txt;308.2;281.173
GKD-b_37_n125_m37.txt;316.8;364.964
GKD-b_38_n125_m37.txt;311.6;367.251
GKD-b_39_n125_m37.txt;292.0;300.137
GKD-b_40_n125_m37.txt;293.2;376.022
GKD-b_41_n150_m15.txt;110.8;44.36
GKD-b_42_n150_m15.txt;110.8;54.169
GKD-b_43_n150_m15.txt;109.4;52.244
GKD-b_44_n150_m15.txt;108.4;48.884
GKD-b_45_n150_m15.txt;110.8;41.807
GKD-b_46_n150_m45.txt;465.6;449.979
GKD-b_47_n150_m45.txt;484.6;436.374
GKD-b_48_n150_m45.txt;474.6;432.155
GKD-b_49_n150_m45.txt;481.8;441.431
GKD-b_50_n150_m45.txt;459.2;509.302
