Fichero;Tiempo;Resultado
GKD-b_1_n25_m2.txt;33.0;0.0
GKD-b_1_n25_m2.txt;32.0;0.0
GKD-b_1_n25_m2.txt;33.0;0.0
GKD-b_1_n25_m2.txt;33.0;0.0
GKD-b_1_n25_m2.txt;33.0;0.0
GKD-b_2_n25_m2.txt;33.0;0.0
GKD-b_2_n25_m2.txt;33.0;0.0
GKD-b_2_n25_m2.txt;33.0;0.0
GKD-b_2_n25_m2.txt;34.0;0.0
GKD-b_2_n25_m2.txt;38.0;0.0
GKD-b_3_n25_m2.txt;33.0;0.0
GKD-b_3_n25_m2.txt;33.0;0.0
GKD-b_3_n25_m2.txt;33.0;0.0
GKD-b_3_n25_m2.txt;33.0;0.0
GKD-b_3_n25_m2.txt;33.0;0.0
GKD-b_4_n25_m2.txt;33.0;0.0
GKD-b_4_n25_m2.txt;33.0;0.0
GKD-b_4_n25_m2.txt;33.0;0.0
GKD-b_4_n25_m2.txt;35.0;0.0
GKD-b_4_n25_m2.txt;33.0;0.0
GKD-b_5_n25_m2.txt;33.0;0.0
GKD-b_5_n25_m2.txt;38.0;0.0
GKD-b_5_n25_m2.txt;33.0;0.0
GKD-b_5_n25_m2.txt;33.0;0.0
GKD-b_5_n25_m2.txt;33.0;0.0
GKD-b_6_n25_m7.txt;32.0;12.718
GKD-b_6_n25_m7.txt;30.0;13.4792
GKD-b_6_n25_m7.txt;32.0;12.718
GKD-b_6_n25_m7.txt;33.0;12.7179
GKD-b_6_n25_m7.txt;40.0;12.718
GKD-b_7_n25_m7.txt;31.0;14.0986
GKD-b_7_n25_m7.txt;33.0;14.0986
GKD-b_7_n25_m7.txt;31.0;14.0986
GKD-b_7_n25_m7.txt;31.0;14.0986
GKD-b_7_n25_m7.txt;32.0;14.0986
GKD-b_8_n25_m7.txt;31.0;16.7612
GKD-b_8_n25_m7.txt;29.0;16.7612
GKD-b_8_n25_m7.txt;28.0;16.7612
GKD-b_8_n25_m7.txt;29.0;16.7612
