Fichero;Tiempo;Resultado
GKD-b_1_n25_m2.txt;54.8;0.0
GKD-b_2_n25_m2.txt;54.6;0.0
GKD-b_3_n25_m2.txt;54.4;0.0
GKD-b_4_n25_m2.txt;54.8;0.0
GKD-b_5_n25_m2.txt;54.6;0.0
GKD-b_6_n25_m7.txt;38.8;26.775
GKD-b_7_n25_m7.txt;39.0;28.513
GKD-b_8_n25_m7.txt;40.4;26.985
GKD-b_9_n25_m7.txt;39.0;36.538
GKD-b_10_n25_m7.txt;40.2;31.467
GKD-b_11_n50_m5.txt;40.4;10.585
GKD-b_12_n50_m5.txt;40.2;14.596
GKD-b_13_n50_m5.txt;39.8;16.073
GKD-b_14_n50_m5.txt;40.4;11.425
GKD-b_15_n50_m5.txt;40.2;15.457
GKD-b_16_n50_m15.txt;70.2;94.57
GKD-b_17_n50_m15.txt;70.2;100.948
GKD-b_18_n50_m15.txt;70.0;82.157
GKD-b_19_n50_m15.txt;71.0;102.3
GKD-b_20_n50_m15.txt;69.8;95.838
GKD-b_21_n100_m10.txt;57.6;54.568
GKD-b_22_n100_m10.txt;57.6;47.372
GKD-b_23_n100_m10.txt;57.6;46.149
GKD-b_24_n100_m10.txt;57.4;42.097
GKD-b_25_n100_m10.txt;57.4;44.509
GKD-b_26_n100_m30.txt;219.8;375.557
GKD-b_27_n100_m30.txt;220.2;393.628
GKD-b_28_n100_m30.txt;220.4;392.387
GKD-b_29_n100_m30.txt;220.6;369.682
GKD-b_30_n100_m30.txt;220.4;338.664
GKD-b_31_n125_m12.txt;68.2;72.622
GKD-b_32_n125_m12.txt;67.6;51.436
GKD-b_33_n125_m12.txt;67.6;68.276
GKD-b_34_n125_m12.txt;67.2;68.115
GKD-b_35_n125_m12.txt;68.0;51.446
GKD-b_36_n125_m37.txt;331.6;431.274
GKD-b_37_n125_m37.txt;331.8;552.519
GKD-b_38_n125_m37.txt;331.0;534.079
GKD-b_39_n125_m37.txt;331.2;457.444
GKD-b_40_n125_m37.txt;332.2;401.071
GKD-b_41_n150_m15.txt;83.4;72.326
GKD-b_42_n150_m15.txt;83.4;94.376
GKD-b_43_n150_m15.txt;83.6;80.337
GKD-b_44_n150_m15.txt;82.8;71.613
GKD-b_45_n150_m15.txt;83.8;74.646
GKD-b_46_n150_m45.txt;529.8;677.855
GKD-b_47_n150_m45.txt;529.8;570.186
GKD-b_48_n150_m45.txt;531.2;508.838
GKD-b_49_n150_m45.txt;531.0;601.833
GKD-b_50_n150_m45.txt;533.4;646.863
