Fichero;Tiempo;Resultado
GKD-b_1_n25_m2.txt;43.2;0.0
GKD-b_2_n25_m2.txt;43.0;0.0
GKD-b_3_n25_m2.txt;44.2;0.0
GKD-b_4_n25_m2.txt;43.0;0.0
GKD-b_5_n25_m2.txt;43.0;0.0
GKD-b_6_n25_m7.txt;56.4;13.84
GKD-b_7_n25_m7.txt;59.0;14.684
GKD-b_8_n25_m7.txt;57.8;18.679
GKD-b_9_n25_m7.txt;61.4;20.456
GKD-b_10_n25_m7.txt;59.0;25.643
GKD-b_11_n50_m5.txt;42.4;7.987
GKD-b_12_n50_m5.txt;41.8;5.13
GKD-b_13_n50_m5.txt;41.4;8.003
GKD-b_14_n50_m5.txt;41.6;6.902
GKD-b_15_n50_m5.txt;41.6;8.087
GKD-b_16_n50_m15.txt;138.0;63.644
GKD-b_17_n50_m15.txt;138.6;71.894
GKD-b_18_n50_m15.txt;137.4;60.417
GKD-b_19_n50_m15.txt;138.4;66.557
GKD-b_20_n50_m15.txt;137.6;70.996
GKD-b_21_n100_m10.txt;123.2;30.081
GKD-b_22_n100_m10.txt;123.0;30.839
GKD-b_23_n100_m10.txt;124.0;27.246
GKD-b_24_n100_m10.txt;125.0;28.77
GKD-b_25_n100_m10.txt;121.8;28.652
GKD-b_26_n100_m30.txt;382.8;345.456
GKD-b_27_n100_m30.txt;381.4;283.65
GKD-b_28_n100_m30.txt;384.2;312.331
GKD-b_29_n100_m30.txt;383.4;318.083
GKD-b_30_n100_m30.txt;382.0;329.077
GKD-b_31_n125_m12.txt;152.0;31.092
GKD-b_32_n125_m12.txt;152.0;36.202
GKD-b_33_n125_m12.txt;153.6;41.316
GKD-b_34_n125_m12.txt;152.8;40.954
GKD-b_35_n125_m12.txt;154.8;39.647
GKD-b_36_n125_m37.txt;548.4;426.066
GKD-b_37_n125_m37.txt;546.0;509.696
GKD-b_38_n125_m37.txt;546.8;468.248
GKD-b_39_n125_m37.txt;545.6;421.583
GKD-b_40_n125_m37.txt;549.4;478.36
GKD-b_41_n150_m15.txt;200.8;53.793
GKD-b_42_n150_m15.txt;200.2;65.424
GKD-b_43_n150_m15.txt;201.0;70.337
GKD-b_44_n150_m15.txt;200.0;64.63
GKD-b_45_n150_m15.txt;201.0;62.935
GKD-b_46_n150_m45.txt;797.6;622.64
GKD-b_47_n150_m45.txt;797.2;561.959
GKD-b_48_n150_m45.txt;798.0;558.615
GKD-b_49_n150_m45.txt;798.4;635.159
GKD-b_50_n150_m45.txt;800.6;611.177
