Fichero;Tiempo;Resultado
GKD-b_1_n25_m2.txt;32.8;0.0
GKD-b_2_n25_m2.txt;34.2;0.0
GKD-b_3_n25_m2.txt;33.0;0.0
GKD-b_4_n25_m2.txt;33.4;0.0
GKD-b_5_n25_m2.txt;34.0;0.0
GKD-b_6_n25_m7.txt;33.4;12.87
GKD-b_7_n25_m7.txt;31.6;14.099
GKD-b_8_n25_m7.txt;29.2;16.761
GKD-b_9_n25_m7.txt;29.6;17.069
GKD-b_10_n25_m7.txt;29.8;23.86
GKD-b_11_n50_m5.txt;24.2;3.341
GKD-b_12_n50_m5.txt;24.0;3.167
GKD-b_13_n50_m5.txt;23.8;4.415
GKD-b_14_n50_m5.txt;25.8;4.032
GKD-b_15_n50_m5.txt;29.0;5.209
GKD-b_16_n50_m15.txt;57.8;57.087
GKD-b_17_n50_m15.txt;58.8;52.1
GKD-b_18_n50_m15.txt;55.4;56.915
GKD-b_19_n50_m15.txt;57.4;56.522
GKD-b_20_n50_m15.txt;57.8;57.341
GKD-b_21_n100_m10.txt;58.4;20.331
GKD-b_22_n100_m10.txt;57.6;25.166
GKD-b_23_n100_m10.txt;57.4;21.178
GKD-b_24_n100_m10.txt;57.4;22.117
GKD-b_25_n100_m10.txt;56.4;21.967
GKD-b_26_n100_m30.txt;187.4;286.262
GKD-b_27_n100_m30.txt;182.8;245.395
GKD-b_28_n100_m30.txt;200.0;222.152
GKD-b_29_n100_m30.txt;187.6;214.966
GKD-b_30_n100_m30.txt;189.4;234.222
GKD-b_31_n125_m12.txt;84.4;26.662
GKD-b_32_n125_m12.txt;82.4;35.111
GKD-b_33_n125_m12.txt;79.2;31.75
GKD-b_34_n125_m12.txt;80.2;31.281
GKD-b_35_n125_m12.txt;78.4;30.623
GKD-b_36_n125_m37.txt;302.0;307.528
GKD-b_37_n125_m37.txt;317.6;389.783
GKD-b_38_n125_m37.txt;298.0;352.752
GKD-b_39_n125_m37.txt;298.8;305.364
GKD-b_40_n125_m37.txt;289.2;355.819
GKD-b_41_n150_m15.txt;111.0;46.686
GKD-b_42_n150_m15.txt;109.0;47.982
GKD-b_43_n150_m15.txt;110.0;54.276
GKD-b_44_n150_m15.txt;108.0;50.814
GKD-b_45_n150_m15.txt;108.4;53.292
GKD-b_46_n150_m45.txt;453.6;514.579
GKD-b_47_n150_m45.txt;463.0;480.24
GKD-b_48_n150_m45.txt;448.6;414.24
GKD-b_49_n150_m45.txt;464.2;484.362
GKD-b_50_n150_m45.txt;447.4;466.437
