Fichero;Tiempo;Resultado
GKD-b_1_n25_m2.txt;31.8;0.0
GKD-b_2_n25_m2.txt;32.0;0.0
GKD-b_3_n25_m2.txt;31.2;0.0
GKD-b_4_n25_m2.txt;31.2;0.0
GKD-b_5_n25_m2.txt;31.0;0.0
GKD-b_6_n25_m7.txt;28.2;13.384
GKD-b_7_n25_m7.txt;28.2;14.63
GKD-b_8_n25_m7.txt;27.4;16.761
GKD-b_9_n25_m7.txt;26.4;17.069
GKD-b_10_n25_m7.txt;28.6;25.049
GKD-b_11_n50_m5.txt;23.2;4.122
GKD-b_12_n50_m5.txt;21.8;3.451
GKD-b_13_n50_m5.txt;22.2;5.1
GKD-b_14_n50_m5.txt;22.0;4.684
GKD-b_15_n50_m5.txt;21.8;3.792
GKD-b_16_n50_m15.txt;53.4;54.011
GKD-b_17_n50_m15.txt;54.6;56.678
GKD-b_18_n50_m15.txt;53.8;51.999
GKD-b_19_n50_m15.txt;53.8;57.222
GKD-b_20_n50_m15.txt;53.6;58.146
GKD-b_21_n100_m10.txt;52.6;23.223
GKD-b_22_n100_m10.txt;52.8;20.79
GKD-b_23_n100_m10.txt;53.0;18.824
GKD-b_24_n100_m10.txt;52.2;20.228
GKD-b_25_n100_m10.txt;51.6;25.298
GKD-b_26_n100_m30.txt;186.4;233.272
GKD-b_27_n100_m30.txt;173.8;204.706
GKD-b_28_n100_m30.txt;189.6;171.59
GKD-b_29_n100_m30.txt;179.2;207.219
GKD-b_30_n100_m30.txt;179.4;220.092
GKD-b_31_n125_m12.txt;76.6;26.113
GKD-b_32_n125_m12.txt;71.2;34.837
GKD-b_33_n125_m12.txt;70.6;31.997
GKD-b_34_n125_m12.txt;70.2;33.438
GKD-b_35_n125_m12.txt;72.2;29.749
GKD-b_36_n125_m37.txt;291.0;243.483
GKD-b_37_n125_m37.txt;299.8;351.407
GKD-b_38_n125_m37.txt;294.0;339.344
GKD-b_39_n125_m37.txt;282.4;270.879
GKD-b_40_n125_m37.txt;286.4;314.082
GKD-b_41_n150_m15.txt;102.0;46.454
GKD-b_42_n150_m15.txt;102.2;46.873
GKD-b_43_n150_m15.txt;100.8;47.995
GKD-b_44_n150_m15.txt;100.8;47.085
GKD-b_45_n150_m15.txt;99.0;43.71
GKD-b_46_n150_m45.txt;455.0;478.819
GKD-b_47_n150_m45.txt;460.2;446.352
GKD-b_48_n150_m45.txt;454.8;385.004
GKD-b_49_n150_m45.txt;466.2;452.138
GKD-b_50_n150_m45.txt;439.6;493.26
