Fichero;Tiempo;Resultado;Evaluaciones
GKD-b_1_n25_m2.txt;0.0;0.0;10.0
GKD-b_1_n25_m2.txt;0.0;0.0;10.0
GKD-b_1_n25_m2.txt;0.0;0.0;10.0
GKD-b_1_n25_m2.txt;0.0;0.0;10.0
GKD-b_1_n25_m2.txt;0.0;0.0;10.0
GKD-b_2_n25_m2.txt;0.0;0.0;10.0
GKD-b_2_n25_m2.txt;0.0;0.0;10.0
GKD-b_2_n25_m2.txt;0.0;0.0;10.0
GKD-b_2_n25_m2.txt;0.0;0.0;10.0
GKD-b_2_n25_m2.txt;0.0;0.0;10.0
GKD-b_3_n25_m2.txt;0.0;0.0;10.0
GKD-b_3_n25_m2.txt;0.0;0.0;10.0
GKD-b_3_n25_m2.txt;0.0;0.0;10.0
GKD-b_3_n25_m2.txt;0.0;0.0;10.0
GKD-b_3_n25_m2.txt;0.0;0.0;10.0
GKD-b_4_n25_m2.txt;0.0;0.0;10.0
GKD-b_4_n25_m2.txt;0.0;0.0;10.0
GKD-b_4_n25_m2.txt;0.0;0.0;10.0
GKD-b_4_n25_m2.txt;0.0;0.0;10.0
GKD-b_4_n25_m2.txt;0.0;0.0;10.0
GKD-b_5_n25_m2.txt;0.0;0.0;10.0
GKD-b_5_n25_m2.txt;0.0;0.0;10.0
GKD-b_5_n25_m2.txt;0.0;0.0;10.0
GKD-b_5_n25_m2.txt;0.0;0.0;10.0
GKD-b_5_n25_m2.txt;0.0;0.0;10.0
GKD-b_6_n25_m7.txt;3.0;43.9471;10.0
GKD-b_6_n25_m7.txt;4.0;27.7479;10.0
GKD-b_6_n25_m7.txt;3.0;41.5217;10.0
GKD-b_6_n25_m7.txt;3.0;15.2854;10.0
GKD-b_6_n25_m7.txt;3.0;48.9655;10.0
GKD-b_7_n25_m7.txt;3.0;25.6926;10.0
GKD-b_7_n25_m7.txt;3.0;54.7765;10.0
GKD-b_7_n25_m7.txt;3.0;43.0068;10.0
GKD-b_7_n25_m7.txt;3.0;41.9619;10.0
GKD-b_7_n25_m7.txt;3.0;56.9807;10.0
GKD-b_8_n25_m7.txt;3.0;43.1937;10.0
GKD-b_8_n25_m7.txt;3.0;55.6914;10.0
GKD-b_8_n25_m7.txt;3.0;53.334;10.0
GKD-b_8_n25_m7.txt;3.0;52.9175;10.0
GKD-b_8_n25_m7.txt;3.0;43.2114;10.0
GKD-b_9_n25_m7.txt;3.0;49.0168;10.0
GKD-b_9_n25_m7.txt;3.0;34.8808;10.0
GKD-b_9_n25_m7.txt;3.0;70.0716;10.0
GKD-b_9_n25_m7.txt;3.0;25.8258;10.0
GKD-b_9_n25_m7.txt;3.0;53.9664;10.0
GKD-b_10_n25_m7.txt;3.0;32.3825;10.0
GKD-b_10_n25_m7.txt;3.0;54.7798;10.0
GKD-b_10_n25_m7.txt;3.0;58.9282;10.0
GKD-b_10_n25_m7.txt;3.0;57.6301;10.0
GKD-b_10_n25_m7.txt;3.0;56.0679;10.0
GKD-b_11_n50_m5.txt;4.0;16.0118;10.0
GKD-b_11_n50_m5.txt;3.0;28.0859;10.0
GKD-b_11_n50_m5.txt;3.0;18.905;10.0
GKD-b_11_n50_m5.txt;3.0;14.8807;10.0
