Fichero;Tiempo;Resultado;Evaluaciones
GKD-b_1_n25_m2.txt;0.0;0.0;414.0
GKD-b_1_n25_m2.txt;0.0;0.0;414.0
GKD-b_1_n25_m2.txt;0.0;0.0;414.0
GKD-b_1_n25_m2.txt;0.0;0.0;414.0
GKD-b_1_n25_m2.txt;0.0;0.0;414.0
GKD-b_2_n25_m2.txt;0.0;0.0;414.0
GKD-b_2_n25_m2.txt;0.0;0.0;414.0
GKD-b_2_n25_m2.txt;0.0;0.0;414.0
GKD-b_2_n25_m2.txt;0.0;0.0;414.0
GKD-b_2_n25_m2.txt;0.0;0.0;414.0
GKD-b_3_n25_m2.txt;0.0;0.0;414.0
GKD-b_3_n25_m2.txt;0.0;0.0;414.0
GKD-b_3_n25_m2.txt;0.0;0.0;414.0
GKD-b_3_n25_m2.txt;0.0;0.0;414.0
GKD-b_3_n25_m2.txt;0.0;0.0;414.0
GKD-b_4_n25_m2.txt;0.0;0.0;414.0
GKD-b_4_n25_m2.txt;0.0;0.0;414.0
GKD-b_4_n25_m2.txt;0.0;0.0;414.0
GKD-b_4_n25_m2.txt;0.0;0.0;414.0
GKD-b_4_n25_m2.txt;0.0;0.0;414.0
GKD-b_5_n25_m2.txt;0.0;0.0;414.0
GKD-b_5_n25_m2.txt;0.0;0.0;414.0
GKD-b_5_n25_m2.txt;0.0;0.0;414.0
GKD-b_5_n25_m2.txt;0.0;0.0;414.0
GKD-b_5_n25_m2.txt;0.0;0.0;414.0
GKD-b_6_n25_m7.txt;4.0;27.5289;2199.0
GKD-b_6_n25_m7.txt;5.0;12.718;2348.0
GKD-b_6_n25_m7.txt;5.0;27.352;2475.0
GKD-b_6_n25_m7.txt;4.0;20.0439;2067.0
GKD-b_6_n25_m7.txt;5.0;25.8947;2639.0
GKD-b_7_n25_m7.txt;5.0;20.1406;2198.0
GKD-b_7_n25_m7.txt;5.0;19.0249;2524.0
GKD-b_7_n25_m7.txt;5.0;19.6091;2324.0
GKD-b_7_n25_m7.txt;4.0;18.7078;1918.0
GKD-b_7_n25_m7.txt;6.0;24.5623;3024.0
GKD-b_8_n25_m7.txt;5.0;16.7612;2604.0
GKD-b_8_n25_m7.txt;5.0;23.3431;2543.0
GKD-b_8_n25_m7.txt;5.0;22.2701;2495.0
GKD-b_8_n25_m7.txt;4.0;21.8265;2207.0
GKD-b_8_n25_m7.txt;4.0;33.8779;2285.0
GKD-b_9_n25_m7.txt;6.0;26.3009;2569.0
GKD-b_9_n25_m7.txt;5.0;28.5002;2533.0
GKD-b_9_n25_m7.txt;5.0;17.0692;2750.0
GKD-b_9_n25_m7.txt;5.0;21.7391;2707.0
GKD-b_9_n25_m7.txt;5.0;26.3009;2578.0
GKD-b_10_n25_m7.txt;5.0;26.7197;2446.0
GKD-b_10_n25_m7.txt;4.0;30.7019;2100.0
GKD-b_10_n25_m7.txt;5.0;26.7197;2225.0
GKD-b_10_n25_m7.txt;4.0;26.8843;1855.0
GKD-b_10_n25_m7.txt;4.0;30.8805;2000.0
GKD-b_11_n50_m5.txt;6.0;8.70111;3422.0
GKD-b_11_n50_m5.txt;7.0;8.20264;3692.0
GKD-b_11_n50_m5.txt;7.0;4.06232;3941.0
GKD-b_11_n50_m5.txt;8.0;8.64679;4417.0
GKD-b_11_n50_m5.txt;7.0;6.84235;3823.0
GKD-b_12_n50_m5.txt;6.0;5.49957;3407.0
GKD-b_12_n50_m5.txt;8.0;7.57709;5019.0
GKD-b_12_n50_m5.txt;5.0;10.1931;3027.0
GKD-b_12_n50_m5.txt;6.0;8.67401;3096.0
GKD-b_12_n50_m5.txt;7.0;10.3325;4061.0
GKD-b_13_n50_m5.txt;8.0;9.52832;4375.0
GKD-b_13_n50_m5.txt;6.0;6.67255;3294.0
GKD-b_13_n50_m5.txt;7.0;8.65607;3626.0
GKD-b_13_n50_m5.txt;8.0;8.28528;4050.0
GKD-b_13_n50_m5.txt;8.0;7.04752;4781.0
GKD-b_14_n50_m5.txt;6.0;12.0602;3531.0
GKD-b_14_n50_m5.txt;7.0;6.92368;3304.0
GKD-b_14_n50_m5.txt;6.0;6.30734;3548.0
GKD-b_14_n50_m5.txt;6.0;3.18564;4019.0
GKD-b_14_n50_m5.txt;7.0;8.31143;4106.0
GKD-b_15_n50_m5.txt;8.0;8.62885;3650.0
GKD-b_15_n50_m5.txt;6.0;10.3438;3260.0
GKD-b_15_n50_m5.txt;5.0;5.02319;3299.0
GKD-b_15_n50_m5.txt;7.0;5.11676;3638.0
GKD-b_15_n50_m5.txt;6.0;7.60492;3053.0
GKD-b_16_n50_m15.txt;33.0;69.2742;11788.0
GKD-b_16_n50_m15.txt;28.0;74.6447;9933.0
GKD-b_16_n50_m15.txt;34.0;55.6672;13040.0
GKD-b_16_n50_m15.txt;33.0;78.4385;13484.0
GKD-b_16_n50_m15.txt;34.0;63.9838;12275.0
GKD-b_17_n50_m15.txt;38.0;54.6728;12761.0
GKD-b_17_n50_m15.txt;44.0;48.1076;16702.0
GKD-b_17_n50_m15.txt;45.0;55.3704;16208.0
GKD-b_17_n50_m15.txt;44.0;61.7735;16185.0
GKD-b_17_n50_m15.txt;46.0;59.5905;16526.0
GKD-b_18_n50_m15.txt;30.0;70.6093;9557.0
GKD-b_18_n50_m15.txt;32.0;62.7219;11604.0
GKD-b_18_n50_m15.txt;27.0;54.7948;9326.0
GKD-b_18_n50_m15.txt;29.0;67.7814;10909.0
GKD-b_18_n50_m15.txt;33.0;62.397;12042.0
GKD-b_19_n50_m15.txt;32.0;75.1294;13215.0
GKD-b_19_n50_m15.txt;28.0;64.342;11392.0
GKD-b_19_n50_m15.txt;40.0;63.4259;16327.0
GKD-b_19_n50_m15.txt;30.0;79.0585;11184.0
GKD-b_19_n50_m15.txt;32.0;62.1403;12325.0
GKD-b_20_n50_m15.txt;33.0;54.7286;11516.0
GKD-b_20_n50_m15.txt;33.0;47.7151;11691.0
GKD-b_20_n50_m15.txt;27.0;74.8419;10023.0
GKD-b_20_n50_m15.txt;29.0;65.9017;11177.0
GKD-b_20_n50_m15.txt;29.0;63.7574;10759.0
GKD-b_21_n100_m10.txt;44.0;27.297;20394.0
GKD-b_21_n100_m10.txt;39.0;32.7646;17343.0
GKD-b_21_n100_m10.txt;35.0;20.1468;15794.0
GKD-b_21_n100_m10.txt;49.0;14.843;18180.0
GKD-b_21_n100_m10.txt;42.0;24.0922;17329.0
GKD-b_22_n100_m10.txt;44.0;23.6653;17949.0
GKD-b_22_n100_m10.txt;30.0;23.2067;14320.0
GKD-b_22_n100_m10.txt;32.0;27.6411;14727.0
GKD-b_22_n100_m10.txt;35.0;30.4122;17735.0
GKD-b_22_n100_m10.txt;31.0;23.99;15410.0
GKD-b_23_n100_m10.txt;42.0;31.5079;18729.0
GKD-b_23_n100_m10.txt;44.0;28.7333;18551.0
GKD-b_23_n100_m10.txt;36.0;29.2486;17295.0
GKD-b_23_n100_m10.txt;25.0;18.0049;13178.0
GKD-b_23_n100_m10.txt;39.0;26.566;17298.0
GKD-b_24_n100_m10.txt;42.0;23.4077;20375.0
GKD-b_24_n100_m10.txt;38.0;27.8706;16889.0
GKD-b_24_n100_m10.txt;33.0;26.4153;13674.0
GKD-b_24_n100_m10.txt;35.0;29.1434;13594.0
GKD-b_24_n100_m10.txt;34.0;24.8589;15982.0
GKD-b_25_n100_m10.txt;43.0;17.9127;17592.0
GKD-b_25_n100_m10.txt;41.0;28.2195;17285.0
GKD-b_25_n100_m10.txt;38.0;23.3948;16279.0
GKD-b_25_n100_m10.txt;44.0;28.8927;20027.0
GKD-b_25_n100_m10.txt;43.0;29.4525;17475.0
GKD-b_26_n100_m30.txt;230.0;289.568;52631.0
GKD-b_26_n100_m30.txt;229.0;247.236;50957.0
GKD-b_26_n100_m30.txt;303.0;210.765;75122.0
GKD-b_26_n100_m30.txt;285.0;188.716;66698.0
GKD-b_26_n100_m30.txt;212.0;193.664;46218.0
GKD-b_27_n100_m30.txt;194.0;188.103;48220.0
GKD-b_27_n100_m30.txt;208.0;201.631;52902.0
GKD-b_27_n100_m30.txt;205.0;213.284;50008.0
GKD-b_27_n100_m30.txt;229.0;189.304;55301.0
GKD-b_27_n100_m30.txt;242.0;251.015;57056.0
GKD-b_28_n100_m30.txt;253.0;191.922;60081.0
GKD-b_28_n100_m30.txt;225.0;247.557;48704.0
GKD-b_28_n100_m30.txt;251.0;191.91;63889.0
GKD-b_28_n100_m30.txt;302.0;181.692;73395.0
GKD-b_28_n100_m30.txt;262.0;259.015;60976.0
GKD-b_29_n100_m30.txt;285.0;243.824;48494.0
GKD-b_29_n100_m30.txt;294.0;210.982;52595.0
GKD-b_29_n100_m30.txt;269.0;200.723;61677.0
GKD-b_29_n100_m30.txt;248.0;260.729;49495.0
GKD-b_29_n100_m30.txt;285.0;202.582;53845.0
GKD-b_30_n100_m30.txt;273.0;184.965;62605.0
GKD-b_30_n100_m30.txt;253.0;242.149;65301.0
GKD-b_30_n100_m30.txt;322.0;195.221;66317.0
GKD-b_30_n100_m30.txt;314.0;215.323;55107.0
GKD-b_30_n100_m30.txt;237.0;319.38;42020.0
GKD-b_31_n125_m12.txt;77.0;15.5336;27519.0
GKD-b_31_n125_m12.txt;112.0;28.5576;25007.0
GKD-b_31_n125_m12.txt;104.0;26.923;33676.0
GKD-b_31_n125_m12.txt;113.0;21.0991;42015.0
GKD-b_31_n125_m12.txt;110.0;25.8317;39947.0
GKD-b_32_n125_m12.txt;93.0;38.9458;24536.0
GKD-b_32_n125_m12.txt;65.0;32.0016;27463.0
GKD-b_32_n125_m12.txt;67.0;33.0646;25132.0
GKD-b_32_n125_m12.txt;69.0;31.344;25431.0
GKD-b_32_n125_m12.txt;78.0;34.0377;33110.0
