Fichero;Tiempo;Resultado;Evaluaciones
GKD-b_1_n25_m2.txt;0.0;0.0;0.0
GKD-b_1_n25_m2.txt;0.0;0.0;0.0
GKD-b_1_n25_m2.txt;0.0;0.0;0.0
GKD-b_1_n25_m2.txt;0.0;0.0;0.0
GKD-b_1_n25_m2.txt;0.0;0.0;0.0
GKD-b_2_n25_m2.txt;0.0;0.0;0.0
GKD-b_2_n25_m2.txt;0.0;0.0;0.0
GKD-b_2_n25_m2.txt;0.0;0.0;0.0
GKD-b_2_n25_m2.txt;0.0;0.0;0.0
GKD-b_2_n25_m2.txt;0.0;0.0;0.0
GKD-b_3_n25_m2.txt;0.0;0.0;0.0
GKD-b_3_n25_m2.txt;0.0;0.0;0.0
GKD-b_3_n25_m2.txt;0.0;0.0;0.0
GKD-b_3_n25_m2.txt;0.0;0.0;0.0
GKD-b_3_n25_m2.txt;0.0;0.0;0.0
GKD-b_4_n25_m2.txt;0.0;0.0;0.0
GKD-b_4_n25_m2.txt;0.0;0.0;0.0
GKD-b_4_n25_m2.txt;0.0;0.0;0.0
GKD-b_4_n25_m2.txt;0.0;0.0;0.0
GKD-b_4_n25_m2.txt;0.0;0.0;0.0
GKD-b_5_n25_m2.txt;0.0;0.0;0.0
GKD-b_5_n25_m2.txt;0.0;0.0;0.0
GKD-b_5_n25_m2.txt;0.0;0.0;0.0
GKD-b_5_n25_m2.txt;0.0;0.0;0.0
GKD-b_5_n25_m2.txt;0.0;0.0;0.0
GKD-b_6_n25_m7.txt;8.0;20.0439;4368.0
GKD-b_6_n25_m7.txt;7.0;21.6578;3892.0
GKD-b_6_n25_m7.txt;6.0;13.4793;3773.0
GKD-b_6_n25_m7.txt;7.0;23.9673;4389.0
GKD-b_6_n25_m7.txt;6.0;20.0439;4179.0
GKD-b_7_n25_m7.txt;6.0;16.7548;3808.0
GKD-b_7_n25_m7.txt;6.0;20.9563;3780.0
GKD-b_7_n25_m7.txt;6.0;18.0633;4060.0
GKD-b_7_n25_m7.txt;6.0;24.4991;3787.0
GKD-b_7_n25_m7.txt;6.0;22.6884;3549.0
GKD-b_8_n25_m7.txt;9.0;21.2857;4858.0
GKD-b_8_n25_m7.txt;7.0;23.8399;3976.0
GKD-b_8_n25_m7.txt;7.0;24.2035;4095.0
GKD-b_8_n25_m7.txt;7.0;22.1756;4354.0
GKD-b_8_n25_m7.txt;6.0;20.9589;3794.0
GKD-b_9_n25_m7.txt;7.0;13.851;4308.0
GKD-b_9_n25_m7.txt;7.0;14.5761;4571.0
GKD-b_9_n25_m7.txt;7.0;15.5504;4114.0
GKD-b_9_n25_m7.txt;6.0;8.45802;4164.0
GKD-b_9_n25_m7.txt;6.0;17.1842;3878.0
GKD-b_10_n25_m7.txt;7.0;12.6809;4179.0
GKD-b_10_n25_m7.txt;6.0;8.41351;3486.0
GKD-b_10_n25_m7.txt;7.0;21.2544;4036.0
GKD-b_10_n25_m7.txt;6.0;27.8831;4158.0
GKD-b_10_n25_m7.txt;6.0;27.1589;3793.0
GKD-b_11_n50_m5.txt;9.0;4.47559;6300.0
GKD-b_11_n50_m5.txt;10.0;7.86383;6531.0
GKD-b_11_n50_m5.txt;8.0;6.54645;6231.0
GKD-b_11_n50_m5.txt;8.0;8.96021;5890.0
GKD-b_11_n50_m5.txt;9.0;9.54462;6231.0
GKD-b_12_n50_m5.txt;10.0;11.4867;6532.0
GKD-b_12_n50_m5.txt;9.0;6.92365;5796.0
GKD-b_12_n50_m5.txt;9.0;7.02771;6457.0
GKD-b_12_n50_m5.txt;8.0;7.57709;5912.0
GKD-b_12_n50_m5.txt;9.0;8.33191;6544.0
GKD-b_13_n50_m5.txt;10.0;7.59808;6592.0
GKD-b_13_n50_m5.txt;9.0;4.32706;5892.0
GKD-b_13_n50_m5.txt;9.0;8.04721;6113.0
GKD-b_13_n50_m5.txt;8.0;8.03662;6029.0
GKD-b_13_n50_m5.txt;8.0;9.77289;5549.0
GKD-b_14_n50_m5.txt;10.0;8.57486;6138.0
GKD-b_14_n50_m5.txt;9.0;1.66318;5800.0
GKD-b_14_n50_m5.txt;11.0;5.59595;6921.0
GKD-b_14_n50_m5.txt;8.0;9.45953;6105.0
GKD-b_14_n50_m5.txt;10.0;8.19376;7249.0
GKD-b_15_n50_m5.txt;11.0;5.10406;6323.0
