Fichero;Tiempo;Resultado;Evaluaciones
GKD-b_1_n25_m2.txt;0.0;0.0;0.0
GKD-b_2_n25_m2.txt;0.0;0.0;0.0
GKD-b_3_n25_m2.txt;0.0;0.0;0.0
GKD-b_4_n25_m2.txt;0.0;0.0;0.0
GKD-b_5_n25_m2.txt;0.0;0.0;0.0
GKD-b_6_n25_m7.txt;1.2;38.159;410.2
GKD-b_7_n25_m7.txt;1.2;26.774;406.8
GKD-b_8_n25_m7.txt;1.4;33.377;434.0
GKD-b_9_n25_m7.txt;1.4;28.77;447.6
GKD-b_10_n25_m7.txt;1.4;44.419;473.6
GKD-b_11_n50_m5.txt;2.0;12.168;657.4
GKD-b_12_n50_m5.txt;2.6;12.759;820.8
GKD-b_13_n50_m5.txt;1.2;13.097;624.8
GKD-b_14_n50_m5.txt;1.4;12.14;815.6
GKD-b_15_n50_m5.txt;1.4;11.701;701.6
GKD-b_16_n50_m15.txt;5.6;71.045;2165.2
GKD-b_17_n50_m15.txt;5.0;85.69;2081.6
GKD-b_18_n50_m15.txt;4.6;97.562;1905.6
GKD-b_19_n50_m15.txt;4.6;92.795;1844.4
GKD-b_20_n50_m15.txt;4.0;82.15;1653.4
GKD-b_21_n100_m10.txt;6.2;34.195;3253.8
GKD-b_22_n100_m10.txt;4.8;36.302;2542.4
GKD-b_23_n100_m10.txt;4.8;35.702;2362.8
GKD-b_24_n100_m10.txt;5.4;48.341;2710.6
GKD-b_25_n100_m10.txt;5.4;39.538;2317.8
GKD-b_26_n100_m30.txt;32.6;320.325;8630.4
GKD-b_27_n100_m30.txt;32.6;276.544;10175.4
GKD-b_28_n100_m30.txt;35.2;241.693;8456.2
GKD-b_29_n100_m30.txt;23.0;340.038;8177.4
GKD-b_30_n100_m30.txt;36.2;210.41;10988.2
GKD-b_31_n125_m12.txt;8.6;37.942;4234.8
GKD-b_32_n125_m12.txt;4.6;55.424;2816.4
GKD-b_33_n125_m12.txt;8.6;57.645;4252.2
GKD-b_34_n125_m12.txt;7.8;41.829;3770.6
GKD-b_35_n125_m12.txt;10.6;47.609;5206.4
GKD-b_36_n125_m37.txt;58.8;366.41;16759.0
GKD-b_37_n125_m37.txt;55.0;332.449;16186.2
GKD-b_38_n125_m37.txt;42.4;302.418;11812.0
GKD-b_39_n125_m37.txt;54.0;320.831;12441.2
GKD-b_40_n125_m37.txt;52.8;337.971;15789.8
GKD-b_41_n150_m15.txt;12.8;57.989;5903.4
GKD-b_42_n150_m15.txt;12.0;63.129;5596.4
GKD-b_43_n150_m15.txt;24.6;69.579;6496.6
GKD-b_44_n150_m15.txt;11.6;56.376;4996.4
GKD-b_45_n150_m15.txt;10.8;62.192;4695.8
GKD-b_46_n150_m45.txt;81.6;524.8;21188.0
GKD-b_47_n150_m45.txt;99.0;438.268;23892.8
GKD-b_48_n150_m45.txt;74.6;541.877;19385.4
GKD-b_49_n150_m45.txt;74.2;374.962;17585.4
GKD-b_50_n150_m45.txt;80.4;428.953;22085.0
