Fichero;Tiempo;Resultado;Evaluaciones
GKD-b_1_n25_m2.txt;0.0;0.0;10.0
GKD-b_2_n25_m2.txt;0.0;0.0;10.0
GKD-b_3_n25_m2.txt;0.0;0.0;10.0
GKD-b_4_n25_m2.txt;0.0;0.0;10.0
GKD-b_5_n25_m2.txt;0.0;0.0;10.0
GKD-b_6_n25_m7.txt;3.2;35.494;10.0
GKD-b_7_n25_m7.txt;3.0;44.484;10.0
GKD-b_8_n25_m7.txt;3.0;49.67;10.0
GKD-b_9_n25_m7.txt;3.0;46.752;10.0
GKD-b_10_n25_m7.txt;3.0;51.958;10.0
GKD-b_11_n50_m5.txt;3.2;20.393;10.0
GKD-b_12_n50_m5.txt;3.0;18.197;10.0
GKD-b_13_n50_m5.txt;2.2;25.473;10.0
GKD-b_14_n50_m5.txt;1.2;21.083;10.0
GKD-b_15_n50_m5.txt;1.4;21.35;10.0
GKD-b_16_n50_m15.txt;8.2;168.153;10.0
GKD-b_17_n50_m15.txt;7.8;155.02;10.0
GKD-b_18_n50_m15.txt;8.2;160.408;10.0
GKD-b_19_n50_m15.txt;7.8;157.355;10.0
GKD-b_20_n50_m15.txt;8.4;163.175;10.0
GKD-b_21_n100_m10.txt;9.2;78.178;10.0
GKD-b_22_n100_m10.txt;9.0;77.034;10.0
GKD-b_23_n100_m10.txt;12.4;76.68;10.0
GKD-b_24_n100_m10.txt;9.8;80.098;10.0
GKD-b_25_n100_m10.txt;9.2;94.286;10.0
GKD-b_26_n100_m30.txt;43.0;537.799;10.0
GKD-b_27_n100_m30.txt;51.8;463.476;10.0
GKD-b_28_n100_m30.txt;47.2;590.959;10.0
GKD-b_29_n100_m30.txt;50.0;521.611;10.0
GKD-b_30_n100_m30.txt;49.6;523.009;10.0
GKD-b_31_n125_m12.txt;12.4;95.535;10.0
GKD-b_32_n125_m12.txt;15.0;111.917;10.0
GKD-b_33_n125_m12.txt;18.2;116.878;10.0
GKD-b_34_n125_m12.txt;15.4;123.394;10.0
GKD-b_35_n125_m12.txt;18.4;115.491;10.0
GKD-b_36_n125_m37.txt;65.6;676.614;10.0
GKD-b_37_n125_m37.txt;68.6;864.207;10.0
GKD-b_38_n125_m37.txt;70.6;710.898;10.0
GKD-b_39_n125_m37.txt;71.6;646.741;10.0
GKD-b_40_n125_m37.txt;72.6;700.465;10.0
GKD-b_41_n150_m15.txt;25.2;168.385;10.0
GKD-b_42_n150_m15.txt;24.8;163.846;10.0
GKD-b_43_n150_m15.txt;27.6;165.285;10.0
GKD-b_44_n150_m15.txt;24.8;164.553;10.0
GKD-b_45_n150_m15.txt;23.0;160.17;10.0
GKD-b_46_n150_m45.txt;105.2;888.595;10.0
GKD-b_47_n150_m45.txt;110.4;898.628;10.0
GKD-b_48_n150_m45.txt;113.4;875.817;10.0
GKD-b_49_n150_m45.txt;108.8;922.743;10.0
GKD-b_50_n150_m45.txt;107.0;908.829;10.0
