Fichero;Tiempo;Resultado;Evaluaciones
GKD-b_1_n25_m2.txt;0.0;0.0;0.0
GKD-b_2_n25_m2.txt;0.0;0.0;0.0
GKD-b_3_n25_m2.txt;0.0;0.0;0.0
GKD-b_4_n25_m2.txt;0.0;0.0;0.0
GKD-b_5_n25_m2.txt;0.0;0.0;0.0
GKD-b_6_n25_m7.txt;6.8;19.838;4120.2
GKD-b_7_n25_m7.txt;6.0;20.592;3796.8
GKD-b_8_n25_m7.txt;7.2;22.493;4215.4
GKD-b_9_n25_m7.txt;6.6;13.924;4207.0
GKD-b_10_n25_m7.txt;6.4;19.478;3930.4
GKD-b_11_n50_m5.txt;8.8;7.478;6236.6
GKD-b_12_n50_m5.txt;9.0;8.269;6248.2
GKD-b_13_n50_m5.txt;8.8;7.556;6035.0
GKD-b_14_n50_m5.txt;9.6;6.697;6442.6
GKD-b_15_n50_m5.txt;8.8;7.325;5956.2
GKD-b_16_n50_m15.txt;38.0;58.572;18052.6
GKD-b_17_n50_m15.txt;41.2;34.378;19897.2
GKD-b_18_n50_m15.txt;37.8;53.181;18610.8
GKD-b_19_n50_m15.txt;43.4;51.639;18926.0
GKD-b_20_n50_m15.txt;40.0;52.148;18597.2
GKD-b_21_n100_m10.txt;45.6;24.607;25088.4
GKD-b_22_n100_m10.txt;40.2;26.096;24550.8
GKD-b_23_n100_m10.txt;43.2;26.3;24604.6
GKD-b_24_n100_m10.txt;45.0;26.355;22236.6
GKD-b_25_n100_m10.txt;47.2;26.825;24694.4
GKD-b_26_n100_m30.txt;186.8;217.042;64832.4
GKD-b_27_n100_m30.txt;236.0;157.896;74741.2
GKD-b_28_n100_m30.txt;224.6;134.306;79844.6
GKD-b_29_n100_m30.txt;216.0;131.834;72923.6
GKD-b_30_n100_m30.txt;210.4;165.797;71791.6
GKD-b_31_n125_m12.txt;78.2;21.594;41064.8
GKD-b_32_n125_m12.txt;60.2;34.039;31463.6
GKD-b_33_n125_m12.txt;77.4;24.143;37817.2
GKD-b_34_n125_m12.txt;99.8;35.087;35163.0
GKD-b_35_n125_m12.txt;72.4;27.299;34481.8
GKD-b_36_n125_m37.txt;284.8;206.236;85006.6
GKD-b_37_n125_m37.txt;290.0;255.95;86988.0
GKD-b_38_n125_m37.txt;290.2;273.798;85974.2
GKD-b_39_n125_m37.txt;290.6;216.898;87509.2
GKD-b_40_n125_m37.txt;286.4;197.348;85862.6
GKD-b_41_n150_m15.txt;98.6;43.019;47128.8
GKD-b_42_n150_m15.txt;102.8;42.447;51946.6
GKD-b_43_n150_m15.txt;95.2;38.257;47738.8
GKD-b_44_n150_m15.txt;83.8;39.366;41675.2
GKD-b_45_n150_m15.txt;95.0;48.211;43521.0
GKD-b_46_n150_m45.txt;337.8;354.832;89281.4
GKD-b_47_n150_m45.txt;342.6;274.993;89495.2
GKD-b_48_n150_m45.txt;344.2;335.215;89282.0
GKD-b_49_n150_m45.txt;347.2;282.427;89183.8
GKD-b_50_n150_m45.txt;342.0;315.741;89271.8
