Fichero;Tiempo;Resultado;Evaluaciones
GKD-b_1_n25_m2.txt;129.2;0.0;100000.0
GKD-b_2_n25_m2.txt;127.6;0.0;100000.0
GKD-b_3_n25_m2.txt;126.6;0.0;100000.0
GKD-b_4_n25_m2.txt;127.6;0.0;100000.0
GKD-b_5_n25_m2.txt;128.6;0.0;100000.0
GKD-b_6_n25_m7.txt;174.2;13.023;100000.0
GKD-b_7_n25_m7.txt;174.2;14.099;100004.4
GKD-b_8_n25_m7.txt;169.8;16.761;100000.0
GKD-b_9_n25_m7.txt;172.6;17.069;100000.0
GKD-b_10_n25_m7.txt;178.8;23.86;100000.0
GKD-b_11_n50_m5.txt;160.4;2.952;100000.0
GKD-b_12_n50_m5.txt;164.4;2.892;100000.0
GKD-b_13_n50_m5.txt;164.6;4.114;100000.0
GKD-b_14_n50_m5.txt;165.8;3.376;100000.0
GKD-b_15_n50_m5.txt;163.4;3.525;100000.0
GKD-b_16_n50_m15.txt;448.2;57.793;100000.0
GKD-b_17_n50_m15.txt;479.8;52.242;100000.0
GKD-b_18_n50_m15.txt;433.0;53.523;100000.0
GKD-b_19_n50_m15.txt;441.6;58.328;100000.0
GKD-b_20_n50_m15.txt;452.2;63.328;100000.0
GKD-b_21_n100_m10.txt;549.6;22.584;100000.0
GKD-b_22_n100_m10.txt;513.8;23.234;100000.0
GKD-b_23_n100_m10.txt;520.8;24.5;100000.0
GKD-b_24_n100_m10.txt;509.2;19.71;100000.0
GKD-b_25_n100_m10.txt;516.8;22.74;100000.0
GKD-b_26_n100_m30.txt;2116.6;239.232;100000.0
GKD-b_27_n100_m30.txt;1962.4;232.45;100000.0
GKD-b_28_n100_m30.txt;2192.4;176.944;100000.0
GKD-b_29_n100_m30.txt;2012.0;216.397;100000.0
GKD-b_30_n100_m30.txt;2065.6;228.097;100000.0
GKD-b_31_n125_m12.txt;974.8;25.007;100000.0
GKD-b_32_n125_m12.txt;778.4;35.108;100000.0
GKD-b_33_n125_m12.txt;783.8;32.765;100000.0
GKD-b_34_n125_m12.txt;799.4;35.245;100000.0
GKD-b_35_n125_m12.txt;802.6;26.203;100000.0
GKD-b_36_n125_m37.txt;3633.0;296.097;100000.0
GKD-b_37_n125_m37.txt;3883.2;370.325;100000.0
GKD-b_38_n125_m37.txt;3627.0;366.011;100000.0
GKD-b_39_n125_m37.txt;3494.8;292.52;100000.0
GKD-b_40_n125_m37.txt;3456.6;351.179;100000.0
GKD-b_41_n150_m15.txt;1272.2;43.432;100000.0
GKD-b_42_n150_m15.txt;1298.2;53.459;100000.0
GKD-b_43_n150_m15.txt;1211.4;51.28;100000.0
GKD-b_44_n150_m15.txt;1219.8;42.346;100000.0
GKD-b_45_n150_m15.txt;1236.2;48.201;100000.0
GKD-b_46_n150_m45.txt;5686.4;451.288;100000.0
GKD-b_47_n150_m45.txt;5780.0;428.263;100000.0
GKD-b_48_n150_m45.txt;5540.0;383.557;100000.0
GKD-b_49_n150_m45.txt;5784.8;459.494;100000.0
GKD-b_50_n150_m45.txt;5366.2;440.956;100000.0
